head,relation,tail
香港,diplomatic relation,澳门特别行政区
澳门特别行政区,diplomatic relation,香港
国际电信联盟规则,applies to jurisdiction,国际电信联盟
武术宫,country,俄罗斯
烟台,located in the administrative territorial entity,山东省
坦桑尼亚,diplomatic relation,孟加拉国
坦桑尼亚,diplomatic relation,巴布亚新几内亚
孟加拉国,diplomatic relation,坦桑尼亚
孟加拉国,diplomatic relation,巴布亚新几内亚
孟加拉国,diplomatic relation,南非
巴布亚新几内亚,diplomatic relation,坦桑尼亚
巴布亚新几内亚,diplomatic relation,孟加拉国
巴布亚新几内亚,diplomatic relation,南非
南非,diplomatic relation,孟加拉国
南非,diplomatic relation,巴布亚新几内亚
杨浦滨江,located in the administrative territorial entity,上海
西米尤省,located in the administrative territorial entity,坦桑尼亚
中国邮政储蓄银行股份有限公司,subsidiary,邮储信用卡
几江街道,located in the administrative territorial entity,江津区
气候变暖,subclass of,气候变化
麻洞川乡,located in the administrative territorial entity,宝塔区
中国美术馆,subclass of,美术馆
张店区,located in the administrative territorial entity,淄博市
淄博花灯,located in the administrative territorial entity,淄博市
沃洛金,member of political party,俄罗斯国家杜马
5G,subclass of,移动基站
帕帕利,position held,萨摩亚议会议长
萨摩亚议会议长,country,萨摩亚
阿玛尔巴伊斯格楞,member of political party,蒙古人民党
山口那津男,member of political party,日本公明党
金砖国家领导人巴以问题特别视频峰会,participant,习近平
金砖国家领导人巴以问题特别视频峰会,participant,安德烈·维诺格拉多夫
安德烈·维诺格拉多夫,member of,俄罗斯科学院
习近平主席,position held,中美元首
习近平主席,significant event,旧金山会晤
旧金山会晤,participant,习近平主席
维文通,position held,新加坡外长
中美元首旧金山会晤,participant,王毅
中美元首旧金山会晤,participant,维文通
仁川,located in the administrative territorial entity,韩国
韩国国防部,country,韩国
巴以冲突,participant,以色列
斯卢茨基,member of political party,俄罗斯自由民主党
秘鲁钱凯港,country,秘鲁
路易斯·阿尔贝托,country of citizenship,秘鲁
乌克兰人道问题,country,乌克兰
李强,member of political party,中共中央政治局常委
沪东中华,owned by,中国船舶集团
昌吉州,located in the administrative territorial entity,新疆
锡林浩特站,connecting line,太锡铁路
锡林浩特,located in the administrative territorial entity,锡林郭勒盟
太子城站,connecting line,崇礼铁路
锡林浩特站,located in the administrative territorial entity,锡林郭勒盟
瓮安县,located in the administrative territorial entity,黔南布依族苗族自治州
平乡县,located in the administrative territorial entity,邢台市
河古庙镇,located in the administrative territorial entity,平乡县
蕃瓜弄,located in the administrative territorial entity,上海市
韩春瑶文,residence,上海自由贸易试验区
塔里木河,located in the administrative territorial entity,新疆
阿克苏河,located in the administrative territorial entity,新疆
陈国强,date of birth,1963年11月
庙上乡,located in the administrative territorial entity,临猗县
张庄村,located in the administrative territorial entity,临猗县
陈国强的故事,facet of,陈国强
拉僧仲街道,located in the administrative territorial entity,海南区
长治久安,located in the administrative territorial entity,西藏
福建省委,applies to jurisdiction,福州市
<unk>杜鹃,parent taxon,叶子花属
叶子花属,taxonomic type,杜鹃花
杜鹃花,parent taxon,叶子花属
巴西,part of,南美洲
深圳,continent,南美洲
教师,field of this occupation,立教
中国财政经济出版社,country,中国
社会主义市场经济,country,中国
互助县,located in the administrative territorial entity,海东市
下白石镇,located in the administrative territorial entity,福安市
常熟市,located in the administrative territorial entity,江苏
杨柏镇,located in the administrative territorial entity,通江县
喀什古城,located in the administrative territorial entity,集市
集市,located in the administrative territorial entity,新疆
语言文字,subclass of,信息载体
中国科学院,subsidiary,中国工程院
中国工程院,main regulatory text,中国工程院院士增选指南
中国工程院,subsidiary,中国工程院
中国工程院,main,中国工程院院士增选指南
万江街道,located in the administrative territorial entity,东莞市
东江,located in the administrative territorial entity,广东省
茂春龙舟文化基地,located in the administrative territorial entity,东莞市
开福区,located in the administrative territorial entity,长沙市
微信公众号,owned by,中国移动
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),location,国家速滑馆
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),organizer,国际滑联
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),sport,速度滑冰
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),participant,高亭宇
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),participant,宁忠岩
2023—2024赛季国际滑冰联合会速度滑冰世界杯(北京站),participant,李琰
埃琳·杰克逊,sport,速度滑冰
高木美帆,sport,速度滑冰
高亭宇,sport,速度滑冰
宁忠岩,sport,速度滑冰
中国滑冰协会,member of,国际滑联
中国滑冰协会,member of,速度滑冰
澳门格兰披治大赛车,located in the administrative territorial entity,澳门
庙前镇,located in the administrative territorial entity,常宁市
哈尔滨工业大学,instance of,学校
陈文浩,sport,钢架雪车
闫文港,sport,钢架雪车
孙楷智,sport,钢架雪车
甄恒,sport,钢架雪车
丁嵩,sport,钢架雪车
叶杰龙,sport,钢架雪车
2023年全国跳水锦标赛暨巴黎奥运会、多哈世锦赛选拔赛,point in time,2023年
2022年布达佩斯世锦赛,participant,陈芋汐
福冈世锦赛,participant,陈芋汐
巴黎奥运会,participant,陈芋汐
第十六届世界武术锦标赛,location,沃斯堡市
得克萨斯州,located in the administrative territorial entity,美国
沃斯堡市,country,美国
沃斯堡市,located in the administrative territorial entity,得克萨斯州
兰卡威,country,马来西亚
博才咸嘉小学,located in the administrative territorial entity,长沙
湘麓金座,located in the administrative territorial entity,长沙
大田县,located in the administrative territorial entity,三明市
中山区,located in the administrative territorial entity,闽
南方电网广东电网公司,item operated,南方(以广东起步)电力现货市场
新建区,located in the administrative territorial entity,南昌市
小雪节气,instance of,二十四节气
上海新天地,located in the administrative territorial entity,上海
杭州高新区,located in the administrative territorial entity,杭州市
滨江,located in the administrative territorial entity,浙江省
泰国,diplomatic relation,泰国
曼谷地铁,country,泰国
曼谷地铁,located in the administrative territorial entity,曼谷
粉色线,country,泰国
粉色线,part of,曼谷地铁
习近平主席,position held,日本首相
上川阳子,position held,日本外相
杜塞尔多夫国际医疗器械设备展,country,德国
科曼医疗展台,country,德国
爱国主义,subclass of,民族心
游劝荣,position held,全国人大代表
淮安市,located in the administrative territorial entity,江苏
上城区,located in the administrative territorial entity,杭州市
南充,located in the administrative territorial entity,四川
万载县,located in the administrative territorial entity,宜春市
中华人民共和国民法典,applies to jurisdiction,中华人民共和国
延边朝鲜族自治州,located in the administrative territorial entity,吉林省
安图县,located in the administrative territorial entity,延边朝鲜族自治州
亚洲文明对话大会,participant,朱海
黄河船夫,instance of,民歌剧
哈维尔·米莱,position held,阿根廷共和国总统
习近平,position held,利比里亚共和国总统
约瑟夫·尼乌马·博阿凯,position held,利比里亚共和国总统
贾拉·纳特·卡纳尔,country of citizenship,尼泊尔
陈松,member of political party,中国共产党
马德里,instance of,首都
西班牙共产党,country,西班牙
西班牙共产党,headquarters location,马德里
玛尔塔·蒙托洛,member of political party,西班牙共产党
跨境电商,subclass of,电子商务
江南区,located in the administrative territorial entity,南宁市
江西镇,located in the administrative territorial entity,江南区
数字贸易,subclass of,贸易
第二届全球数字贸易博览会,participant,习近平主席
氢能,subclass of,二次能源
科技部,part of,中国人民银行
国家金融监管总局,part of,中国人民银行
中国证监会,part of,中国人民银行
商务部,part of,国务院
自然资源部,item operated,自然资源部关于探索推进海域立体分层设权工作的通知
自然资源部关于探索推进海域立体分层设权工作的通知,author,刘诗瑶
路易斯·拉卡列·波乌,position held,乌拉圭东岸共和国总统
亚太经合组织,chairperson,习近平主席
习近平主席,position held,联合国安理会常任理事国
习近平主席,significant event,金砖国家领导人巴以问题特别视频峰会
金砖国家领导人巴以问题特别视频峰会,participant,习近平主席
国务院新闻办公室,part of,国务院
国务院,subsidiary,国务院新闻办公室
中国贸促会,country,中国
仁川国际机场,country,韩国
仁川国际机场,place served by transport hub,仁川
中国退役军人事务部,country,韩国
常正国,member of,中国退役军人事务部
邢海明,member of,中国退役军人事务部
金善镐,member of,中国退役军人事务部
中央宣传部,country,韩国
中央对外联络部,country,韩国
中央网信办,country,韩国
外交部,country,韩国
财政部,country,韩国
中央军委政治工作部,country,韩国
生态环境部,subsidiary,中央生态环境保护督察组
中央生态环境保护督察组,part of,生态环境部
通州区,located in the administrative territorial entity,南通市
全国查处形式主义、官僚主义问题,subclass of,全国查处违反中央八项规定精神问题
佛子庄乡,located in the administrative territorial entity,房山区
中华老字号,subclass of,老字号
自然资源部,country,中华人民共和国
城镇开发边界,country,中华人民共和国
户用分布式光伏,subclass of,光伏发电
洛龙区,located in the administrative territorial entity,洛阳
