head,relation,tail
中华纹饰,subclass of,纹饰
必须坚持人民至上,author,习近平
武功山,located in the administrative territorial entity,江西
恩施大峡谷—腾龙洞,located in the administrative territorial entity,湖北
兴义,located in the administrative territorial entity,贵州
临夏,located in the administrative territorial entity,甘肃
中国信息通信研究院,chairperson,余晓晖
余晓晖,employer,中国信息通信研究院
万泉河,located in the administrative territorial entity,海南
琼海市,located in the administrative territorial entity,海南
博鳌镇,located in the administrative territorial entity,琼海市
2024年,point,2024年
自豪泰党,chairperson,佩通坦
佩通坦,member of political party,自豪泰党
披拉攀,member of political party,自豪泰党
谢国民,member of political party,自豪泰党
博鳌亚洲论坛,organizer,亚洲相互协作与信任措施会议
亚洲相互协作与信任措施会议,chairperson,凯拉特·萨雷拜
亚洲相互协作与信任措施会议,founded by,哈萨克斯坦
凯拉特·萨雷拜,member of,亚洲相互协作与信任措施会议
哈萨克斯坦,member of,亚洲相互协作与信任措施会议
上海合作组织,member of,亚洲相互协作与信任措施会议
日本,continent,亚洲
欧力士集团,country,日本
刘国平,country of citizenship,日本
洋泉镇,located in the administrative territorial entity,常宁市
联合街道,located in the administrative territorial entity,蒸湘区
良好政治生态,subclass of,政治生态
屯堡乡,located in the administrative territorial entity,恩施市
财政部,headquarters location,北京
浙江,shares border with,广东
微短剧,subclass of,影视
木耳,located in the administrative territorial entity,陕西
罕见病,subclass of,遗传性疾病
消费品制造业,subclass of,制造业
2023煤炭行业发展年度报告,point in time,2023年
国务院国资委,headquarters location,北京
2023年支付体系运行总体情况,point in time,2023年
中国民航局,subsidiary,民航局综合司
民航局综合司,part of,中国民航局
民航局运输司,part of,中国民航局
水光针,subclass of,医疗器械
沈河区,located in the administrative territorial entity,沈阳市
壶关县,located in the administrative territorial entity,山西
江门市,located in the administrative territorial entity,广东
乡愁是什么?,located in the administrative territorial entity,雄安新区
历史研究,subclass of,社会科学
沈壮海,position held,党的二十大将
肇东市,located in the administrative territorial entity,黑龙江省
哔哩哔哩,headquarters location,上海
松山湖科学城,located in the administrative territorial entity,东莞市
湖南师范大学,located in the administrative territorial entity,长沙市
中川乡,located in the administrative territorial entity,市民和回族土族自治县
桐屿街道,located in the administrative territorial entity,路桥区
工商银行湖南分行,applies to jurisdiction,湖南
莫莫格湿地,located in the administrative territorial entity,吉林
海藻,subclass of,藻类
青海湖景区保护利用管理局,headquarters location,西宁
青海湖,maintained by,青海湖景区保护利用管理局
江汉,located in the administrative territorial entity,江南
江淮,located in the administrative territorial entity,江南
江南,located in the administrative territorial entity,江南
江南,located in the administrative,江南
蒙通他尼国际会展中心,country,泰国
蒙通他尼国际会展中心,located in the administrative territorial entity,曼谷
皮娅娜,country of citizenship,泰国
2022年全球电子垃圾的产生量,point in time,2022年
电能,subclass of,能源
热能,subclass of,能源
热泵,use,供暖
琼布拉克高山滑雪场,country,哈萨克斯坦
卡因迪湖,country,哈萨克斯坦
恰伦大峡谷,country,哈萨克斯坦
库尔加尔金自然保护区,country,哈萨克斯坦
布拉拜国家自然公园,country,哈萨克斯坦
玛尔哲赫帕耶夫,country of citizenship,哈萨克斯坦
舒凯里,country of citizenship,埃及
萨法迪,country of citizenship,埃及
拉法,country,埃及
国家会计学院,located in the administrative territorial entity,北京
赵展慧,employer,中国进出口银行
赵展慧,employer,进出口银行
湖口县,located in the administrative territorial entity,九江市
安丘市,located in the administrative territorial entity,山东省
航天科工,headquarters location,合肥
右卫镇,located in the administrative territorial entity,右玉县
昌黎火车站,located in the administrative territorial entity,昌黎县
赠卫八处士,author,杜甫
飞花时节,creator,李玉滋
飞花时节,creator,冯长江
普拉博沃,position held,印尼总统
中法关系,participant,塞茹尔内
马克龙,position held,总统
交通运输,authority,交通运输部
综合保税区,located in the administrative territorial entity,合肥
视涯科技,headquarters location,合肥
青海玛尔挡水电站首台机组1日并网发电,located in the administrative territorial entity,玛沁县
拉加镇,located in the administrative territorial entity,玛沁县
余潮斌,country of citizenship,澳门
余潮斌,country of citizen,澳门
优茶,natural product of taxon,春茶
优茶,natural product of,春茶
电动汽车,manufacturer,中国经济
锂电池,manufacturer,中国经济
光伏,manufacturer,中国经济
阿斯利康全球,chief executive officer,苏博科
苏博科,employer,阿斯利康全球
苏塞市,country,突尼斯
哈卢夫河,country,突尼斯
中国和苏里南关系,country,苏里南
苏里南,history of topic,中国和苏里南关系
裴青山,country of citizenship,越南
<unk>迪拓,country of citizenship,东帝汶
拉瓦尔品第市,country,巴基斯坦
拉瓦尔品第市,located in the administrative territorial entity,旁遮普省
努尔汗空军基地,country,巴基斯坦
努尔汗空军基地,located in the administrative territorial entity,拉瓦尔品第市
乔杜,country of citizenship,巴基斯坦
旁遮普省,capital,拉瓦尔品第市
朝平公园,located in the administrative territorial entity,北京市
十四届全国人大二次会议,follows,十四届全国人大一次会议
西乡塘区,located in the administrative territorial entity,宾阳县
坛洛镇,located in the administrative territorial entity,西乡塘区
马英九,member of,中共中央台办
义乌国际商贸城,located in the administrative territorial entity,义乌市
义乌市,located in the administrative territorial entity,浙江
总书记,position held,全国人大代表
2023年中国自然资源公报,point in time,2023年
湖南,office held by head of government,总书记
湖南,office held by head of,总书记
杨盛昌,educated at,厦门大学
大连化物所,located in the administrative territorial entity,大连
大连,located in the administrative territorial entity,河南
住房城乡建设部,applies to jurisdiction,海南省
全国行政复议机构,field of work,行政复议
北京通信管理部门,applies to jurisdiction,北京市
北京市公安部门,applies to jurisdiction,北京市
博鳌亚洲论坛年会,location,东屿岛
"理论强,才能方向明、人心齐、底气足",facet of,习近平新时代中国特色社会主义思想
老祖宗,culture,中华文化
三星堆博物馆,instance of,博物馆
殷墟遗址,instance of,博物馆
草莓,subclass of,生鲜食用农产品
樱桃,subclass of,生鲜食用农产品
杨梅,subclass of,生鲜食用农产品
枇杷,subclass of,生鲜食用农产品
姚卫蓉,employer,江南大学
重庆市卫生健康委,applies to jurisdiction,重庆
卫健,applies to jurisdiction,重庆
公安,applies to jurisdiction,重庆
医保,applies to jurisdiction,重庆
托育机构,field of work,托育服务
阎晶明,occupation,作家
穆欣欣,occupation,作家
凡尔赛宫殿,part of,故宫博物院
凡尔赛宫,part of,故宫博物院
姚雪青,educated at,南京大学
杜灵杰,educated at,南京大学
量子物理,studies,引力子
医保医疗救助,subclass of,医疗救助
陵园墓区,located in the administrative territorial entity,北京
重庆轨道交通4号线,located in the administrative territorial entity,渝北区
包头市,located in the administrative territorial entity,内蒙古
七里河区,located in the administrative territorial entity,兰州市
新疆,capital,杭州
杭州,located in the administrative territorial entity,新疆
南宁至深圳高速铁路南宁至玉林段重点控制性工程六律邕江特大桥,part of,南宁至深圳高速铁路南宁至玉林段重点控制性工程
粤泷发电公司,headquarters location,云浮
肃宁县,located in the administrative territorial entity,河北省
雨果,country of citizenship,巴西
爱德华·科纳纳·孔约,country of citizenship,肯尼亚
毛林·杰穆泰,country of citizenship,肯尼亚
大运河,located in the administrative territorial entity,江苏省
上海体育博物馆,located in the administrative territorial entity,上海
徐莉佳,place of birth,上海
谷熟镇,located in the administrative territorial entity,虞城县
谷熟小学,located in the administrative territorial entity,虞城县
运城博物馆,located in the administrative territorial entity,山西
拜登通,position held,美国总统
孙海燕,position held,中华人民共和国主席
郭晓梅,position held,中华人民共和国主席
季平,position held,中华人民共和国主席
龚韬,position held,中华人民共和国主席
魏强,position held,中华人民共和国主席
徐学渊,position held,中华人民共和国主席
普拉博沃,country of citizenship,印度尼西亚
统筹融资信用服务平台建设提升中小微企业融资便利水平实施方案,publisher,国务院办公厅
广西,country,中华人民共和国
西部高校,country,中华人民共和国
太湖,located in the administrative territorial entity,江苏省
王伶俐,occupation,职业经理人
国家医保局,subsidiary,国家医保局微信公众号
2024年全国数据工作会议,point in time,2024年
内罗毕快速路,country,肯尼亚
内罗毕快速路,located in the administrative territorial entity,内罗毕
中国,member of,国际电信联盟
中国,member of,国际标准化组织
博鳌亚洲论坛,country,中国
世界互联网大会乌镇峰会,country,中国
清迈,country,泰国
清迈大学孔子学院,country,泰国
清迈大学孔子学院,located in the administrative territorial entity,清迈
普拉博沃,position held,印度尼西亚总统
印度尼西亚总统,country,印度尼西亚
习近平主席,position held,印度尼西亚总统
平塘特大桥,located in the administrative territorial entity,贵州
慎海雄,member of political party,民盟
荣军院,country,法国
荣军院,located in the administrative territorial entity,巴黎
法国国家奥林匹克和体育委员会,country,法国
雄安新区,instance of,城市
西藏自治区,located in the administrative territorial entity,国家
郎溪县,located in the administrative territorial entity,宣城市
十字镇,located in the administrative territorial entity,郎溪县
国务院新闻办公室,part of,国务院办公厅
农业农村部,subsidiary,国务院新闻办公室
曲沃经济技术开发区,located in the administrative territorial entity,长沙市
西部陆海新通道,part of,区域全面经济伙伴关系协定
陕西第一批工业遗产认定申报工作,facet of,工业遗产
"你好,李焕英",instance of,电视剧
长安三万里,instance of,电视剧
王明时,educated at,天津大学
吴江师范学校,located in the administrative territorial entity,苏州市
