head,relation,tail
马尼卡瓦萨加姆·杰加特桑,member of,亚奥理事会反兴奋剂委员会
苏丹·阿尔·布赛迪,member of,亚奥理事会反兴奋剂委员会
中非,continent,非洲
家风,facet of,家风文化
家风文化,facet of,家风
家风,facet,家风文化
中国科学院,subsidiary,中国科学院、中国工程院
中国工程院,subsidiary,中国科学院、中国工程院
上海亿通国际股份有限公司,headquarters location,上海
白之羽,employer,商务部
茅台,different from,贵州茅台
贵州茅台,different from,茅台
美国国防部,country,美国
艾布拉姆斯,country,美国
科学美国人,country,美国
美国阿富汗重建特别监察长,country,美国
巴林,part of,南亚
塞浦路斯,part of,南亚
科威特,part of,南亚
黎巴嫩,part of,南亚
阿曼,part of,南亚
泰国,office held by head of government,泰国总理
泰国总理,country,泰国
赛塔·他威信,country of citizenship,泰国
素万那普国际机场,country,泰国
素万那普国际机场,place served by transport hub,曼谷
泰国国家旅游局,country,泰国
马耳他国际航空展,country,马耳他
春蓬府,located in the administrative territorial entity,泰国
伊朗,diplomatic relation,马尔代夫
伊朗,part of,中东地区
马尔代夫,diplomatic relation,伊朗
马尔代夫,diplomatic relation,沙特阿拉伯
马尔代夫,part of,中东地区
阿卜杜拉希扬,country of citizenship,伊朗
沙特阿拉伯,diplomatic relation,马尔代夫
黑龙江洪水,located in the administrative territorial entity,黑龙江
第一批主题教育,instance,主题教育
恭城瑶族自治县,located in the administrative territorial entity,桂林市
集镇,located in the administrative territorial entity,恭城瑶族自治县
习近平总书记,notable work,总书记重要讲话
赵成,place of birth,北京
刘金国,position held,中央书记处书记
国家体育总局,office held by head of the organization,中央书记处书记
保尔森,country of citizenship,美国
中国国家铁路集团有限公司,item operated,复兴号动车组
中国国家铁路集团有限公司,item operated,沪宁沿江高铁
中国国家铁路集团有限公司,item operated,川青铁路
中国国家铁路集团有限公司,item operated,济郑高铁
中国国家铁路集团有限公司,item operated,昌景黄高铁
中国国家铁路集团有限公司,item operated,津兴城际铁路
中国国家铁路集团有限公司,item operated,滇藏铁路
中国国家铁路集团有限公司,item operated,香格里拉段
中国国家铁路集团有限公司,item operated,叙永至毕节铁路
中国国家铁路集团有限公司,item operated,龙龙铁路
中国国家铁路集团有限公司,item operated,武平段
复兴号动车组,part of,复兴号
贵南高铁,length,482
2023民企500强,point in time,2023
中国邮政集团,chief executive officer,刘爱力
刘爱力,employer,中国邮政集团
国家发展改革委,subsidiary,法制和体制改革司
法制和体制改革司,part of,国家发展改革委
黄河特大桥,owned by,山东高速集团
黄河特大桥,carries,京台高速公路
黄河特大桥,carries,山东段改扩建工程
山东段改扩建工程,owned by,山东高速集团
尼泊尔,head of government,普什帕·卡迈勒·达哈尔
普什帕·卡迈勒·达哈尔,country of citizenship,尼泊尔
普什帕·卡迈勒·达哈尔,place of birth,普拉昌达
普拉昌达,country,尼泊尔
习近平主席,notable work,构建人类命运共同体
顺应时代潮流 回答世界之问,country,中国
人类命运共同体,creator,习近平主席
保尔森基金会,chairperson,保尔森
保尔森,employer,保尔森基金会
措格瓦内,position held,总统
斯凯莱马尼,position held,总统
哈博罗内,position held,酋长院主席
博茨瓦纳大学孔子学院,country,博茨瓦纳
中国记协,headquarters location,北京
中国记协,located in the administrative territorial entity,北京
中华海外联谊会,chairperson,石泰峰
2023上海合作组织国家电视节,point in time,2023
张玉滚,award received,全国优秀教师代表
伏牛山,located in the administrative territorial entity,河南
全国优秀教师代表,winner,张玉滚
烈士纪念设施保护标志,maintained by,退役军人事务部
全国查处违反中央八项规定精神问题,subclass of,全国查处
全国共查处形式主义、官僚主义问题,subclass of,全国查处
全国共查处享乐主义、奢靡之风问题,subclass of,全国查处
社会主义现代化,subclass of,现代化
雨花台烈士纪念馆,located in the administrative territorial entity,拉萨
北京升哲科技有限公司,founded by,赵武阳
通辽经济技术开发区,located in the administrative territorial entity,呼和浩特
人类,part of,宇宙
海信,country,中国
中国,different from,中国
杭州亚运会七人制橄榄球女子和男子项目决赛,sport,七人制橄榄球
曹芳平,sport,七人制橄榄球
杭州亚运会,participant,叶诗文
杭州亚运会,participant,余依婷
巴尼巴·翁巴达那吉,country of citizenship,泰国
巴尼巴·翁巴达那吉,sport,跆拳道
吴静钰,country of citizenship,泰国
吴静钰,sport,跆拳道
2008年北京奥运会,participant,吴静钰
2012年伦敦奥运会,participant,吴静钰
陈则<unk>,educated at,浙江理工大学
梁钧昱,educated at,浙江理工大学
亚奥理事会,chairperson,辛格
辛格,member of,国际奥委会
杭州亚运会乒乓球女团决赛,winner,孙颖莎
评论,part of,新闻
人民日报评论,publisher,人民日报社
党报楷体字,publisher,人民日报社
安徽日报,headquarters location,安徽
党报评论,subclass of,评论
澎湃,instance of,媒体融合大潮
移动互联网时代,instance of,媒体融合大潮
评论员,field of this occupation,评论
评论员,field of this,评论
评论,subclass of,新闻
算法,part of,人工智能
中国人民大学新闻学院,instance of,高校
沙特阿拉伯石油公司,country,中华人民共和国
广汕高铁,part of,宁波至广州高铁
广汕高铁,terminus,汕尾站
广汕高铁,terminus,新塘站
广汕高铁,located in the administrative territorial entity,惠州市
广汕高铁,located in the administrative territorial entity,惠阳区
广汕高铁,located in the administrative territorial entity,惠城区
广汕高铁,located in the administrative territorial entity,深汕合作区
广汕高铁,located in the administrative territorial entity,海丰县
汕尾站,connecting line,广汕高铁
汕尾站,located in the administrative territorial entity,惠州市
汕尾站,located in the administrative territorial entity,惠阳区
汕尾站,located in the administrative territorial entity,深汕合作区
深圳北站,connecting line,广汕高铁
龙岗镇,located in the administrative territorial entity,临安区
锦江区,located in the administrative territorial entity,成都
强国必先强教,creator,习近平总书记
强国必先强教,creator,总书记
国网嘉兴供电公司,headquarters location,嘉兴市
交通银行,headquarters location,上海交银金融大厦
亚拉巴马州,shares border with,俄克拉何马州
俄克拉何马州,shares border with,亚拉巴马州
蒋建国,member of political party,中国共产党
王国庆,member of political party,中国共产党
日本侵华战争,location,亚洲国家
细菌战,part of,日本侵华战争
日本陆军,conflict,日本侵华战争
关东军,conflict,日本侵华战争
印度尼西亚工业部,country,印尼
印尼盾,country,印尼
Go—Jek,country,印尼
曼谷,continent,东南亚
东盟,part of,东南亚
拉加德,position held,欧洲央行行长
拉加德,member of,欧洲议会经济与货币事务委员会
哈利斯科州,located in the administrative territorial entity,墨西哥
奥特兰—德纳瓦罗市,country,墨西哥
厄尔尼诺现象,country,墨西哥
曲江新区,located in the administrative territorial entity,西安
农业农村部,part of,商务部
文化和旅游部,part of,商务部
中国供销集团,subsidiary,中国供销商贸流通公司
中国供销商贸流通公司,owned by,中国供销集团
人工智能,instance of,信息技术
大数据,instance of,信息技术
5G,subclass of,信息技术
斗山镇,located in the administrative territorial entity,台山
斗山圩,located in the administrative territorial entity,斗山镇
胜利油田,located in the administrative territorial entity,东营
凉伞镇,located in the administrative territorial entity,新晃侗族自治县
中国建设银行,instance of,建设银行
世界贸易组织,political ideology,多边主义
世界贸易组织,political ideology,多边贸易体制
世界贸易组织,political ideology,多边贸易
天安门广场巨型花篮,set during recurring event,国庆节
天安门广场上的巨型花篮,set during recurring event,国庆节
中国(上海)自由贸易试验区,inception,2013年9月29日
杨正伟,employer,中国(上海)自由贸易试验区
中国自贸试验区,subclass of,自贸试验区
工业企业利润,publisher,国家统计局
卡帕,country of citizenship,南非
海西都兰县,located in the administrative territorial entity,海西蒙古族藏族自治州
宗加镇,located in the administrative territorial entity,海西都兰县
吴心伯,employer,复旦大学
全人类共同价值,facet of,人类文明
匈牙利,capital,西雅尔
西雅尔,country,匈牙利
多通电话,participant,王毅
多通电话,destination point,西雅尔
共建“一带一路”政府间合作文件,participant,王毅
习近平主席,position held,中共中央政治局委员
习近平主席,position held,外交部长
匈塞铁路,country,匈牙利
萨尔瓦多,continent,非洲
所罗门群岛,continent,非洲
金立群,employer,亚洲基础设施投资银行
尹力,member of political party,中共中央政治局
丁进勇,member of political party,越共中央政治局
河内,member of political party,越共中央政治局
施密特,position held,德国总理府部长
萨利赫,country of citizenship,沙特
中秋,follows,九月
匈牙利国家银行,country,匈牙利
匈牙利国家银行,headquarters location,布达佩斯
闽山,located in the administrative territorial entity,福建
全国优秀教师代表,conferred by,总书记
莫高窟,country,印度
印度,diplomatic relation,中国
中国,diplomatic relation,印度
敦煌,country,印度
天涯区,located in the administrative territorial entity,三亚市
三亚,located in the administrative territorial entity,海南省
南宁东站,connecting line,贵南高铁
贵阳,shares border with,南宁
南宁,shares border with,贵阳
贵南高铁,located in the administrative territorial entity,贵阳
贵南高铁,located in the administrative territorial entity,南宁
渠长根,located in the administrative territorial entity,杭州市
全国人大常委会,office held by head of the organization,全国人大常委会副委员长
苍南县,located in the administrative territorial entity,温州市
藻溪镇,located in the administrative territorial entity,苍南县
王蒙,notable work,青春万岁
王蒙,notable work,这边风景
浙江大学,office held by head of the organization,浙江大学党委书记
浙江大学党委书记,part of,浙江大学
孔子,place of birth,曲阜
古尔班通,located in the administrative territorial entity,新疆
古特沙漠,located in the administrative territorial entity,新疆
中蒙俄沿亚洲公路网4号线(AH4)国际道路运输试运行车队,destination point,新西伯利亚
乌鲁木齐,located in the administrative territorial entity,俄罗斯
蒙古国,shares border with,俄罗斯
科布多省,country,俄罗斯
巴彦乌勒盖省,located in the administrative territorial entity,俄罗斯
巴彦乌勒盖省,country,俄罗斯
阿尔泰斯克市,country,俄罗斯
让国民共享品质生活,manufacturer,格兰仕
杭州亚运会,participant,崔宸曦
杭州亚运会,participant,盛李豪
杭州亚运会,participant,黄雨婷
杭州亚运会,participant,盛李
乌什娜·苏海勒,sport,网球
朱琳,sport,网球
