head,relation,tail
中国—中亚峰会,participant,布拉特·苏尔丹诺夫
第十八届威尼斯国际建筑双年展,location,中国国家馆
罗多·提斯纳多,has works in the collection,中国国家馆
老挝怀拉涅河水电站,country,老挝
色贡省,located in the administrative territorial entity,老挝
陆家嘴,located in the administrative territorial entity,上海
上海中心大厦,located in the administrative territorial entity,上海
陆家嘴软件园,located in the administrative territorial entity,陆家嘴
姜仕坤,member of political party,中国共产党
陆家嘴金融城,located in the administrative territorial entity,上海
改革开放,part of,新时代
温州市,located in the administrative territorial entity,浙江省
永嘉县,located in the administrative territorial entity,温州市
桥头镇,located in the administrative territorial entity,永嘉县
心理健康,subclass of,健康
徐一臻文,member of political party,中国电力企业联合会
流动科普,subclass of,科普
流动科普,sub,科普
习近平同志,notable work,习近平著作选读
习近平强军思想,named after,习近平同志
暨南大学,located in the administrative territorial entity,广州市
山西,capital,太原市
太原市,located in the administrative territorial entity,山西
迎泽区,located in the administrative territorial entity,太原市
铁岭市,located in the administrative territorial entity,辽宁
清河区,located in the administrative territorial entity,铁岭市
红旗街道,located in the administrative territorial entity,清河区
兴义市,located in the administrative territorial entity,贵州
广西,capital,南宁市
南宁市,located in the administrative territorial entity,广西
人民日报,owned by,人民网
墨脱县,located in the administrative territorial entity,西藏自治区
建设数字中国,subclass of,数字化
中国国际信息通信展览会,located in the administrative territorial entity,北京
工信部,item operated,中国国际信息通信展览会
云计算,part of,数字经济
淮北市,located in the administrative territorial entity,安徽省
烈山区,located in the administrative territorial entity,淮北市
古饶镇,located in the administrative territorial entity,烈山区
绿色低碳,subclass of,能源
生态文明,subclass of,绿色
生态文明,sub,绿色
新时代新征程,creator,中国共产党
神舟十五号载人飞船,UTC date of spacecraft launch,2022年11月29日
中国航天科技集团,item operated,神舟十五号载人飞船
盐田区,located in the administrative territorial entity,深圳市
大深圳数据交易所,headquarters location,深圳
细胞生物学,part of,分子生物学
石船镇,located in the administrative territorial entity,渝北区
统景镇,located in the administrative territorial entity,渝北区
菩提北,located in the administrative territorial entity,长寿区
大盛镇,located in the administrative territorial entity,渝北区
周红军,employer,新华网
夏似飞,employer,新华网
隋元杰,employer,新华网
博尔塔拉蒙古自治州,located in the administrative territorial entity,新疆维吾尔自治区
习近平,member of political party,党中央
博尔塔拉,located in the administrative territorial entity,博州
博尔塔拉,located in the,博州
吴堡县,located in the administrative territorial entity,榆林市
北京国安,sport,足球
武林街道,located in the administrative territorial entity,杭州
安吉路实验学校,located in the administrative territorial entity,杭州
鲁德,sport,网球
中国网球协会,sport,网球
泰国公开赛,location,曼谷
东莞,located in the administrative territorial entity,广东省
东莞市,located in the administrative territorial entity,广东省
高埗镇,located in the administrative territorial entity,东莞市
2023年世界女排联赛,point in time,2023年
2023年世界女排联赛,sports season of league or competition,世界女排联赛
青藏高原,located in the administrative territorial entity,西藏
青藏高原,located in the administrative territorial entity,青海
青藏高原,located in the administrative territorial entity,四川
青藏高原,located in the administrative territorial entity,云南
青藏高原,located in the administrative territorial entity,甘肃
青藏高原,located in the administrative territorial entity,新疆
盐城,located in the administrative territorial entity,江苏
水利部,country,中国
自然资源部,country,中国
湖南,located in the administrative territorial entity,中国
广东,located in the administrative territorial entity,中国
广西,located in the administrative territorial entity,中国
云南,located in the administrative territorial entity,中国
广东,located in the administrative,中国
青藏高原生态保护法,instance of,特殊区域法律
荆州市,located in the administrative territorial entity,湖北
太湖港,located in the administrative territorial entity,荆州市
长湖,located in the administrative territorial entity,湖北省
长湖,located in the administrative territorial entity,荆州市
荆门,located in the administrative territorial entity,湖北省
荆门,located in the administrative territorial entity,荆州市
潜江,located in the administrative territorial entity,湖北省
潜江,located in the administrative territorial entity,荆州市
通道侗族自治县,located in the administrative territorial entity,怀化市
万佛山镇,located in the administrative territorial entity,通道侗族自治县
习近平著作选读,author,习近平主席
习近平谈治国理政,author,习近平主席
世界气象组织,item operated,世界气象大会
世界气象组织,headquarters location,日内瓦
智利,diplomatic relation,新加坡
智利,diplomatic relation,新西兰
新加坡,diplomatic relation,智利
新加坡,diplomatic relation,新西兰
新西兰,diplomatic relation,智利
新西兰,diplomatic relation,新加坡
智利政府,country,智利
泰国,capital,曼谷
曼谷,country,泰国
曼谷,instance of,首都
泰国禁毒委员会,country,泰国
伊拉克,diplomatic relation,土耳其
伊拉克,diplomatic relation,叙利亚
伊拉克,diplomatic relation,约旦
伊拉克,diplomatic relation,土伊
苏达尼,country of citizenship,伊拉克
伊朗,diplomatic relation,伊拉克
土耳其,diplomatic relation,伊拉克
叙利亚,diplomatic relation,伊拉克
约旦,diplomatic relation,伊拉克
巴士拉省,located in the administrative territorial entity,伊拉克
