head,relation,tail
长河,country,越南
长河,located in the administrative territorial entity,河内
越南国旗,applies to jurisdiction,越南
越南,lowest point,长河
童光荣,country of citizenship,越南
胡志明故居,country,越南
胡志明故居,located in the administrative territorial entity,河内
阮富仲总书记,country of citizenship,越南
人民日报,country of origin,越南
胡志明主席,country of citizenship,越南
中国人民,chairperson,习近平同志
孔硕,educated at,南京大学
南阳市,located in the administrative territorial entity,河南
王光谦,position held,全国政协副主席
应急管理部,located in the administrative territorial entity,北京市
水利部,located in the administrative territorial entity,北京市
黄泥塘镇,located in the administrative territorial entity,大方县
中国,part of,中亚
中亚,country,中国
海门区,located in the administrative territorial entity,南通市
四甲镇,located in the administrative territorial entity,海门区
丹凤县,located in the administrative territorial entity,商洛市
商镇,located in the administrative territorial entity,丹凤县
上海市人大常委会,part of,中共中央
董云虎,member of political party,中共中央
特斯拉储能超级工厂,located in the administrative territorial entity,上海
星巴克,subsidiary,星巴克咖啡烘焙工厂
星巴克咖啡烘焙工厂,owned by,星巴克
周宁县,located in the administrative territorial entity,宁德市
七步镇,located in the administrative territorial entity,周宁县
邮政报刊亭,subclass of,报刊亭
绿电增效益,subclass of,新能源
南川区,located in the administrative territorial entity,重庆
丰都县,located in the administrative territorial entity,重庆
产业政策,subclass of,宏观政策
黑龙江伊春市,heritage designation,全国重点国有林区
黑龙江伊春市,heritage,全国重点国有林区
诸暨市,located in the administrative territorial entity,浙江省
什<unk>市,located in the administrative territorial entity,德阳
<unk>华镇,located in the administrative territorial entity,什<unk>市
什<unk>,located in the administrative territorial entity,德阳
复苏河,located in the administrative territorial entity,天津市
<unk>沱河,located in the administrative territorial entity,天津市
瀑河,located in the administrative territorial entity,天津市
白洋淀,located in the administrative territorial entity,天津市
三灶镇,located in the administrative territorial entity,金湾区
景俊海,position held,吉林省委书记
中央党校,founded by,中国共产党
中国共产党,subsidiary,中央党校
阿联酋气候变化和环境部,country,阿联酋
玛丽亚姆,country of citizenship,阿联酋
南京大屠杀,location,南京
巴西,diplomatic relation,玻利维亚
巴西,diplomatic relation,巴西
巴西,diplomatic relation,巴拉圭
巴西,diplomatic relation,乌拉圭
巴西,member of,南方共同市场
玻利维亚,diplomatic relation,巴西
玻利维亚,diplomatic relation,阿根廷
玻利维亚,diplomatic relation,巴拉圭
玻利维亚,diplomatic relation,乌拉圭
玻利维亚,member of,南方共同市场
