head,relation,tail
刘鑫焱,occupation,本报记者
习近平同志《论科技自立自强》一书,author,习近平同志
中国科学院,subsidiary,中国科学院建院
生态环境部,chairperson,赵英民
赵英民,member of,生态环境部
国家统计局,subsidiary,生态环境部
鸡笼山,located in the administrative territorial entity,汕尾市
湖南雨花非物质文化遗产馆,located in the administrative territorial entity,湖南
陈旭同志,date of death,2022年5月22日
万盛经开区,located in the administrative territorial entity,重庆
石林镇,located in the administrative territorial entity,万盛经开区
张天培,employer,公安部
重庆能源职业学院,located in the administrative territorial entity,重庆
会泽县,located in the administrative territorial entity,曲靖市
钟屏街道,located in the administrative territorial entity,会泽县
下宫镇,located in the administrative territorial entity,连江县
河北省总工会,applies to jurisdiction,河北省
黄乃亥乡,located in the administrative territorial entity,同仁市
2023中国新媒体大会,point in time,2023
2023中国新媒体大会,organizer,澎湃新闻
人民日报社,owned by,新华社
新华社,subsidiary,人民日报社
2023马栏山指数,point in time,2023
安吉,located in the administrative territorial entity,浙江
2023中国新媒体大会省级融媒创新论坛,point in time,2023
垦利区,located in the administrative territorial entity,东营市
台山,country,中国
台山,located in the administrative territorial entity,广东
海南,located in the administrative territorial entity,中国
文昌,country,中国
北部湾,country,中国
阁山镇,located in the administrative territorial entity,樟树市
店下镇,located in the administrative territorial entity,樟树市
东京奥运会,participant,陈芋汐
东京奥运会,participant,全红婵
第二十二届环青海湖国际公路自行车赛,instance of,环青海湖国际公路自行车赛
第二十二届环青海湖国际公路自行车赛,start point,西宁市
第二十二届环青海湖国际公路自行车赛,destination point,海东市
第二十二届环青海湖国际公路自行车赛,destination point,海南藏族自治州
第二十二届环青海湖国际公路自行车赛,destination point,海北藏族自治州
第二十二届环青海湖国际公路自行车赛,destination point,海西蒙古族藏族自治州
第二十二届环青海湖国际公路自行车赛,number of participants,154
环青海湖国际公路自行车赛,country,意大利
海东市,located in the administrative territorial entity,海北藏族自治州
海东市,located in the administrative territorial entity,海西蒙古族藏族自治州
海北藏族自治州,located in the administrative territorial entity,海西蒙古族藏族自治州
海西蒙古族藏族自治州,shares border with,海北藏族自治州
巴迪亚尼车队,country,意大利
2023年亚洲田径锦标赛,point in time,2023年
2023年亚洲田径锦标赛,number of participants,48
田径亚锦赛,sport,田径
20公里竞走,sport,田径
2019年多哈田径世锦赛,sport,田径
杨柳静,sport,田径
王凯华,sport,田径
宋佳媛,sport,田径
黄博凯,sport,田径
撑杆跳高,sport,田径
李玉婷,sport,田径
2023年温布尔登网球锦标赛,point in time,2023年
2023年温布尔登网球锦标赛,winner,万卓索娃
万卓索娃,country of citizenship,捷克
