head,relation,tail
拜登,position held,国家主席
阿利斯夏巴纳,country of citizenship,印度尼西亚
印度尼西亚,diplomatic relation,美国
世界银行,part of,亚太经合组织
亚洲开发银行,part of,亚太经合组织
耶伦,position held,美财长
旧金山会晤,participant,何立峰
旧金山会晤,participant,耶伦
东南亚,shares border with,南亚
南亚,shares border with,东南亚
泰国联泰建国党,chairperson,披拉攀
披拉攀,member of political party,泰国联泰建国党
青民盟,country,匈牙利
安理会,follows,巴以局势紧急公开会
巴以局势紧急公开会,part of,安理会
约旦河西岸,shares border with,加沙
加沙,shares border with,约旦河西岸
左锋,member of,中国人权发展基金会
习近平主席,different from,习近平主席
北京,part of,华北
黄淮,located in the administrative territorial entity,河北
爱国主义教育,facet of,爱国主义
爱国主义,facet of,爱国主义
北京航空航天大学,member of,双一流
虚拟现实,instance of,新技术
人文浸润科技,subclass of,科技
张镇新,part of,中央芭蕾舞团
李志鹏,educated at,上海市第二中学
空军,part of,中部战区
共建“一带一路”,named after,古丝绸之路
维米尔,notable work,戴珍珠耳环的少女
戴珍珠耳环的少女,creator,维米尔
潭州,located in the administrative territorial entity,佛山市
门头沟区,located in the administrative territorial entity,保定
马宏兵,position held,财政部科教和文化司副司长
武宁县,located in the administrative territorial entity,九江市
南昌大学,located in the administrative territorial entity,南昌市
犁桥水镇,located in the administrative territorial entity,义安区
郭一凡,sport,花剑
李彦郯,sport,攀岩
费城交响乐团,director / manager,马思艺
马思艺,position held,国家主席
美国,head of state,习近平主席
习近平主席,member of,亚太经合组织
库克群岛,capital,阿瓦鲁阿
阿瓦鲁阿,located in the administrative territorial entity,库克群岛
云计算,instance of,新一代信息技术
大数据,instance of,新一代信息技术
人工智能,instance of,新一代信息技术
虚拟现实,instance of,新一代信息技术
京杭运河,located in the administrative territorial entity,北京
重庆长安汽车股份有限公司,headquarters location,重庆
九江,mouth of the watercourse,长江
江西,different from,江西
永安镇,located in the administrative territorial entity,浏阳市
耕地,use,农业
2024年艺术类专业和高水平运动队考试招生工作,point in time,2024年
叶榭镇,located in the administrative territorial entity,松江区
井凌桥村,located in the administrative territorial entity,叶榭镇
郑建邦,member of political party,民革中央
马利怀,position held,全国政协副主席
高朋,position held,全国政协副主席
王东峰,position held,全国
衢江区,located in the administrative territorial entity,衢州市
廿里镇,located in the administrative territorial entity,衢江区
西泠印社,headquarters location,杭州市
淄博市,located in the administrative territorial entity,山东
临淄区,located in the administrative territorial entity,淄博市
青羊区,located in the administrative territorial entity,成都市
少城街道,located in the administrative territorial entity,青羊区
来那度胺胶囊,medical condition treated,多发性骨髓瘤
新时代党的治藏方略,creator,习近平同志
天津大学法学院,located in the administrative territorial entity,天津
天津大学法学院,located in,天津
里水镇,located in the administrative territorial entity,南海区
