head,relation,tail
改革开放,participant,习近平总书记
大国工匠,subclass of,工匠
董建勤,occupation,统筹
陇川县,located in the administrative territorial entity,德宏傣族景颇族自治州
瑞丽市,located in the administrative territorial entity,德宏傣族景颇族自治州
盈江县,located in the administrative territorial entity,德宏傣族景颇族自治州
齐河县,located in the administrative territorial entity,德州市
焦庙镇,located in the administrative territorial entity,齐河县
天津市法规规章规范性文件数据库,located in the administrative territorial entity,天津市
天津市人大常委会法工委,applies to jurisdiction,天津市
区,located in the administrative territorial entity,天津市
镇级,located in the administrative territorial entity,天津市
市高院,applies to jurisdiction,天津市
检察院,applies to jurisdiction,天津市
宜宾,located,长江
高质量发展,facet of,经济
实体经济,different from,实体经济
银山,located in the administrative territorial entity,金山
白之羽,spouse,沈 寅 林 琳
高安市,located in the administrative territorial entity,宜春
太阳镇,located in the administrative territorial entity,高安市
仪征,located in the administrative territorial entity,扬州
万冢镇,located in the administrative territorial entity,平舆县
甘肃简牍博物馆,located in the administrative territorial entity,兰州市
2024年“游购乡村”系列活动,point in time,2024年
苏刚,educated at,中国科学院大学
项俊森,educated at,中国科学院大学
孙培杰,educated at,中国科学院大学
李伟,educated at,中国科学院大学
金文涛,educated at,中国科学院大学
明水河镇,located in the administrative territorial entity,阿尔山市
裕西,located in the administrative territorial entity,桥西区
广府,located in the administrative territorial entity,广东
潮汕,located in the administrative territorial entity,广东
合肥,located in the administrative territorial entity,皖
皖,capital,合肥
森林抚育,facet of,森林
习近平主席提出全球发展倡议、全球安全倡议、全球文明倡议,creator,习近平主席
玛格尼特,country,阿联酋
约旦,diplomatic relation,沙特阿拉伯
约旦,diplomatic relation,埃及
艾哈迈德·哈南德,country of citizenship,约旦
约旦,part of,沙特
博鳌亚洲论坛,headquarters location,北京
鹏湾氢港氢能产业园,located in the administrative territorial entity,山西
比雷埃夫斯港,located in the administrative territorial entity,雅典
南京理工大学,located in the administrative territorial entity,上海
国家矿山安全监察局,subsidiary,国家矿山安全监察局
广州白云站,date of official opening,2023年12月26日
广州白云站,connecting line,京广高铁
广州白云站,connecting line,广茂铁路
冰城,located in the administrative territorial entity,哈尔滨
国家市场监督管理总局,subsidiary,市场监管总局推进广告助企行动
全国棉花交易市场,headquarters location,北京
中国人民,office held by head of state,习近平主席
费利克斯·齐塞克迪,position held,刚果民主共和国总统
周剑,position held,中华人民共和国驻卡塔尔国特命全权大使
郭玮,position held,中华人民共和国驻塞舌尔共和国特命全权大使
郭玮,position held,中华人民共和国驻赤道几内亚共和国特命全权大使
郭玮,position held,中华人民共和国驻阿尔巴尼亚共和国特命全权大使
郭玮,position held,中华人民共和国驻所罗门群岛特命全权大使
