head,relation,tail
观星+露营,subclass of,露营
成都大运会,location,首钢大跳台
首钢大跳台,significant event,成都大运会
郅 延文,employer,国家卫生健康委
调查研究,subclass of,研究
突泉县,located in the administrative territorial entity,兴安盟
太平乡,located in the administrative territorial entity,突泉县
东北全面振兴,location,内蒙古自治区
两岸关系,participant,香港
两岸关系,participant,澳门
两岸关系,participant,台湾
党的二十大,creator,中国共产党
利民镇,located in the administrative territorial entity,虞城县
晋江市,located in the administrative territorial entity,泉州市
陈<unk>镇,located in the administrative territorial entity,晋江市
孟连傣族拉<unk>族佤族自治县,located in the administrative territorial entity,普洱市
油召乡,located in the administrative territorial entity,平乡县
孙述涛,member of political party,中国共产党
中国光大集团股份公司,chairperson,李晓鹏
李晓鹏,member of political party,中国光大集团股份公司
中国国家铁路集团有限公司,item operated,贵广高铁
中国国家铁路集团有限公司,item operated,八纵八横
贵广高铁,date of official opening,2014年12月26日
八纵八横,owned by,中国国家铁路集团有限公司
郑海鸥,member of political party,中国共产党
2023年,point in time,2023年1月31日
2035年,follows,2023年
市场监管部门,field of work,市场监管
国家开发银行,headquarters location,北京
九户镇,located in the administrative territorial entity,邹平
菲律宾,diplomatic relation,柬埔寨
菲律宾,diplomatic relation,老挝
菲律宾,diplomatic relation,印度尼西亚
王岗镇,located in the administrative territorial entity,临颍县
锦北街道,located in the administrative territorial entity,临安区
中国国家铁路集团有限公司,subsidiary,哈尔滨局集团
哈尔滨局集团,owned by,中国国家铁路集团有限公司
国家卫生健康委,subsidiary,医政司
东阳中学,located in the administrative territorial entity,浙江省
文化和旅游部,subsidiary,北京市人民政府
人民文学,instance of,文学期刊
收获,instance of,文学期刊
十月,instance of,文学期刊
当代,instance of,文学期刊
上河园,located in the administrative territorial entity,开封
朱仙镇,located in the administrative territorial entity,开封
启封故园,located in the administrative territorial entity,开封
洛阳,shares border with,安阳
开封,shares border with,安阳
安阳,shares border with,洛阳
广西壮族自治区,office held by head of government,国家主席
国家主席,applies to jurisdiction,广西壮族自治区
光山县,located in the administrative territorial entity,信阳市
槐店乡,located in the administrative territorial entity,光山县
秋季,follows,雨季
金山银山,located in the administrative territorial entity,神州
生态环境部,country,中国
中国国际保护臭氧层日纪念大会,country,中国
中国,significant event,中国国际保护臭氧层日纪念大会
蒙特利尔议定书,main subject,中国国际保护臭氧层日纪念大会
蒙特利尔议定书,country,中国
中国南方电网有限责任公司,industry,新型电力系统
墨西哥,continent,北美洲
墨西哥,part of,加勒比
环太平洋地震带,located on terrain feature,太平洋
北美洲,located in or next to body of water,太平洋
加勒比,located in or next to body of water,太平洋
里氏8.1级强震,point in time,1985年9月19日
里氏8.1级强震,location,墨西哥城
墨西哥,part of,北美洲
1985年大地震,point in time,1985年9月19日
1985年大地震,has cause,里氏8.1级强震
1985年大地震,country,墨西哥
1985年大地震,location,墨西哥城
墨西哥,part of,墨西哥城
格鲁吉亚国家统计局,country,格鲁吉亚
