head,relation,tail
中国国家博物馆,part of,故宫博物院
丁薛祥,position held,中国国务院副总理
弗兰斯·蒂默曼斯,position held,欧盟委员会执行副主席
斯特拉斯堡,country,法国
团结进步党,country,法国
舍米纳德,member of political party,团结进步党
意大利经济发展部,country,意大利
柬埔寨人民党,chairperson,洪森
洪森,member of political party,柬埔寨人民党
昆索达莉,member of political party,柬埔寨人民党
布拉索昆,member of political party,柬埔寨人民党
柬埔寨人民党,chairperson,洪
即墨区,located in the administrative territorial entity,青岛市
蚺城街道,located in the administrative territorial entity,婺源县
义勒力特镇,located in the administrative territorial entity,乌兰浩特市
义勒力特嘎查,located in the administrative territorial entity,乌兰浩特市
中国人民解放军,political ideology,习近平强军思想
赵成,member of,纪检监察机关
延安市,located in the administrative territorial entity,陕西省
安塞区,located in the administrative territorial entity,延安市
高桥镇,located in the administrative territorial entity,安塞区
红坪镇,located in the administrative territorial entity,神农架林区
成 森文,employer,商务部
第19届亚运会,location,成都
第4届亚残运会,location,杭州
科学普及,sub,科普
柳冠中,educated at,清华大学
卓易文,employer,厦门翔安机场
中共中央台办,chairperson,习近平同志
宋涛,member of political party,中国国民党
中国国民党,chairperson,习近平同志
洪秀柱,member of political party,中国国民党
习近平同志,member of political party,中国国民党
九二共识,signatory,习近平同志
新疆维吾尔自治区,capital,乌鲁木齐市
乌鲁木齐市,located in the administrative territorial entity,新疆维吾尔自治区
天山区,located in the administrative territorial entity,乌鲁木齐市
黑甲山街道,located in the administrative territorial entity,天山区
中华慈善总会,chairperson,宫蒲光
宫蒲光,member of,中华慈善总会
中国船舶集团,subsidiary,广船国际联合中国船舶工业贸易有限公司
安全生产法,instance of,法律
中国历史研究院,subsidiary,中国边疆研究所
邢广程,member of,中国历史研究院
齐齐哈尔市,located in the administrative territorial entity,黑龙江省
齐齐哈尔市第34中学体育馆屋顶坍塌事故,located in the administrative territorial entity,黑龙江省
国家电网,item operated,能源电力安全保供
南方电网,item operated,能源电力安全保供
习近平新时代中国特色社会主义思想,creator,总书记
专精特新中小企业,subclass of,中小企业
新型消费,subclass of,消费
新型消费,sub,消费
武汉汉达瑞科技有限公司,headquarters location,武汉
国家粮食和物资储备局,headquarters location,北京
上海市政府,located in the administrative territorial entity,上海
中国金融科技百强企业竞争力报告,point in time,2023
网络谣言,subclass of,谣言
检察官,field of this occupation,检察工作
检察机关,field of this occupation,检察工作
青海省,capital,西宁
西宁,located in the administrative territorial entity,青海省
合江县,located in the administrative territorial entity,泸州市
饮马镇,located in the administrative territorial entity,昌邑市
勉县,located in the administrative territorial entity,陕西
长安三万里,instance of,动画电影
歙县,located in the administrative territorial entity,黄山市
霞坑镇,located in the administrative territorial entity,歙县
虹口继光高级中学,located in the administrative territorial entity,上海市
青田县,located in the administrative territorial entity,丽水市
闲林街道,located in the administrative territorial entity,余杭区
峨边彝族自治县,located in the administrative territorial entity,四川省
大石桥市,located in the administrative territorial entity,营口市
周家镇,located in the administrative territorial entity,大石桥市
张芳曼,occupation,制图
北林路街道,located in the administrative territorial entity,金水区
定日县,located in the administrative territorial entity,日喀则市
住房城乡建设部,located in the administrative territorial entity,北京
晋州市,located in the administrative territorial entity,石家庄
一心乡,located in the administrative territorial entity,杜尔伯特蒙古族自治县
黄村镇,located in the administrative territorial entity,泾县
河套灌区,located in the administrative territorial entity,巴彦淖尔市
临河区,located in the administrative territorial entity,巴彦淖尔市
双河镇,located in the administrative territorial entity,临河区
北海公园,located in the administrative territorial entity,北京
菲律宾,located in or next to body of water,南海
吕宋岛,country,菲律宾
吕宋岛,located in or next to body of water,南海
南海,country,菲律宾
广东,located in or next to body of water,南海
台湾岛,located in or next to body of water,南海
水利部,instance of,水行政主管部门
信都区,located in the administrative territorial entity,邢台
沙河市,located in the administrative territorial entity,邢台
临城县,located in the administrative territorial entity,邢台
隆尧县,located in the administrative territorial entity,邢台
山区县,located in the administrative territorial entity,邢台
覃海洋,country of citizenship,日本
巴西女足,sport,足球
玛塔,sport,足球
玛塔,member of sports team,巴西女足
巴拿马女足,sport,足球
2003年世界杯,sport,足球
2003年世界杯,participant,玛塔
2003年世界杯,participant,巴西女足
女足世界杯,sport,足球
澳大利亚,continent,非洲
非洲,shares border with,中美洲
中美洲,shares border with,非洲
2023年游泳世锦赛,point in time,2023年
2023年游泳世锦赛,organizer,世界泳联
2023年游泳世锦赛,point in time,2024年
2024年巴黎奥运会,follows,2023年游泳世锦赛
东京奥运会,participant,韩婕
国家市场监督管理总局,subsidiary,国家标准委
国家标准委,part of,国家市场监督管理总局
大众竞速类滑冰运动水平等级评价规范,instance of,国家标准
大众高山滑雪和单板滑雪运动水平等级评价规范,instance of,国家标准
大众冰球运动水平等级评价规范,instance of,国家标准
大众冰壶运动水平等级评价规范,instance of,国家标准
大众高山滑雪和单板滑雪运动培训规范,instance of,国家标准
大众冰壶运动培训规范,instance of,国家标准
衢州体育中心,located in the administrative territorial entity,衢州市
巩立姣,sports discipline competed in,铅球
巩立姣,sports discipline competed in,链球
王峥,sports discipline competed in,铅球
委内瑞拉,capital,加拉加斯
加拉加斯,country,委内瑞拉
意大利环境和能源安全部,country,意大利
意大利,member of,欧盟
吉尔贝托·弗拉廷,country of citizenship,意大利
意大利国家电力公司,country,意大利
意大利国家电力公司,headquarters location,罗马
拉齐奥大区,located in the administrative territorial entity,意大利
拉齐奥大区,capital,罗马
欧盟,subsidiary,欧盟委员会
柬埔寨,part of,东南亚
老挝,part of,东南亚
