head,relation,tail
迪庆藏族自治州,located in the administrative territorial entity,云南省
金沙江铁路大桥,located in the administrative territorial entity,迪庆藏族自治州
纯电动汽车,subclass of,新能源汽车
莫高窟,part of,敦煌
甘肃,shares border with,安徽
福岛第一核电站,significant event,核污染水排海
乌兹别克斯坦,member of,上海合作组织
梅纳西·索加瓦雷,date of birth,1955年1月
英国,continent,欧洲
比利时,continent,欧洲
马特维延科,position held,俄罗斯联邦委员会主席
投资便利化协定,instance of,投资协定
投资便利化协定,instance,投资协定
2023年生态文明贵阳国际论坛,point in time,2023年
2023年生态文明贵阳国际论坛,location,贵阳
闽江,located in the administrative territorial entity,福建
敖江,located in the administrative territorial entity,福建
昌都市,located in the administrative territorial entity,西藏自治区
解放广场,located in the administrative territorial entity,昌都市
新源县,located in the administrative territorial entity,伊犁哈萨克自治州
那拉提空中草原,located in the administrative territorial entity,新疆
巴中,located in the administrative territorial entity,四川
通江县,located in the administrative territorial entity,巴中
达州,located in the administrative territorial entity,四川
万源市,located in the administrative territorial entity,达州
竹峪镇,located in the administrative territorial entity,万源市
渠县,located in the administrative territorial entity,万源市
宣汉县,located in the administrative territorial entity,万源市
达川区,located in the administrative territorial entity,万源市
文化自信,facet of,传统文化
镇江市,located in the administrative territorial entity,江苏省
镇江新区,located in the administrative territorial entity,镇江市
姚桥镇,located in the administrative territorial entity,镇江新区
顺义区,located in the administrative territorial entity,北京市
赵全营镇,located in the administrative territorial entity,顺义区
沽源,located in the administrative territorial entity,河北
陆军,country,国家
海空,country,国家
空军,country,国家
新质作战力量,country,国家
新疆军区,country,国家
国家,office held by head of state,习近平主席
国家,office held by head,习近平主席
梅峰山地公园,located in the administrative territorial entity,福州
习近平同志,military branch,人民军队
人民军队,commanded by,习近平同志
坛石镇,located in the administrative territorial entity,江山市
贝宁高原省,capital,萨凯泰市
萨凯泰市,located in the administrative territorial entity,贝宁高原省
尼贝管道,located in the administrative territorial entity,贝宁高原省
尼贝管道,located in the administrative territorial entity,萨凯泰市
尼贝管道,located in,贝宁高原省
航海文化,facet of,航海
中央美术学院,instance of,美术院校
东都,located in the administrative territorial entity,洛阳
洛阳,instance of,城市
江苏,office held by head of government,总书记
苏杭,located in the administrative territorial entity,江苏
习近平,position held,浙江省委书记
湖州市,located in the administrative territorial entity,浙江
投资基金,subclass of,私募投资基金
海南环岛旅游公路,located in the administrative territorial entity,海南
新征程,located in the administrative territorial entity,江苏
旅顺口区,located in the administrative territorial entity,大连
市场监管总局,subsidiary,国家发展改革委
海绵城市,located in the administrative territorial entity,北京
2023澜沧江—湄公河合作媒体峰会采访团,point in time,2023
肯尼迪政府学院,country,美国
2021年,point in time,2021年9月
张广军,member of,中国科技部
砂拉越日拔大桥,country,马来西亚
通民都鲁,country,马来西亚
民都鲁机场,country,马来西亚
民都鲁机场,place served by transport hub,通民都鲁
张少松,member of political party,中国共产党
张少松,military rank,少将
张少松,military rank,中将
李源,member of political party,中国共产党
李源,military rank,空军少将
马秉臣,member of political party,中国共产党
赵永吉,date of death,2023年5月27日
上海市人力资源社会保障部门,applies to jurisdiction,上海市
文物,subclass of,文化遗产
徐雷鹏文,country of citizenship,中华人民共和国
暑期档,subclass of,旅游
衡阳,located in the administrative territorial entity,湖南省
2023世界人工智能大会,located in the administrative territorial entity,上海
板桥镇,located in the administrative territorial entity,临泽县
全国妇联,chairperson,沈跃跃
中国国家铁路集团有限公司,business division,国铁集团客运部
国铁集团客运部,part of,中国国家铁路集团有限公司
内蒙古,capital,呼和浩特市
呼和浩特市,located in the administrative territorial entity,内蒙古
赛罕区,located in the administrative territorial entity,呼和浩特市
龙泉镇,located in the administrative territorial entity,壶关县
明光市,located in the administrative territorial entity,安徽
