head,relation,tail
钓鱼台国宾馆,country,中俄
中俄,item operated,钓鱼台国宾馆
中俄,head of state,习近平主席
俄罗斯总统能源发展战略和生态安全委员会,country,中俄
苹果公司,chief executive officer,库克
库克,employer,苹果公司
里拉,country of citizenship,巴西
习近平主席,position held,中宣部部长
丝路奖,named after,丝路精神
浙江省,office held by head of government,浙江省省长
浙江省省长,applies to jurisdiction,浙江省
国务院办公厅,country,中华人民共和国
习近平新时代中国特色社会主义思想,country of origin,中华人民共和国
高校,country,中华人民共和国
中国国家铁路集团有限公司,item operated,青藏铁路
中国国家铁路集团有限公司,item operated,兰新高铁
中国国家铁路集团有限公司,item operated,大理火车站站房原址重建
中国国家铁路集团有限公司,item operated,丽江至香格里拉铁路
中国国家铁路集团有限公司,item operated,南昌至景德镇
中国国家铁路集团有限公司,item operated,黄山高铁
中国国家开发银行,country,中国
第三届“一带一路”国际合作高峰论坛,part of the series,“一带一路”国际合作高峰论坛
第三届“一带一路”国际合作高峰论坛,location,北京
第三届“一带一路”国际合作高峰论坛,participant,习近平主席
第三届“一带一路”国际合作高峰论坛,participant,古特雷斯
“一带一路”国际合作高峰论坛,participant,习近平主席
“一带一路”国际合作高峰论坛,participant,古特雷斯
共建“一带一路”,participant,古特雷斯
第二届高峰论坛,part of,“一带一路”国际合作高峰论坛
第二届高峰论坛,location,北京
第二届高峰论坛,participant,习近平主席
第二届高峰论坛,participant,古特雷斯
习近平主席,participant,“一带一路”国际合作高峰论坛
古特雷斯,participant,“一带一路”国际合作高峰论坛
共建“一带一路”倡议,subclass of,丝路精神
金边邮报,country,柬埔寨
巴西,diplomatic relation,坦桑尼亚
劳动者电视台,country,巴西
坦桑尼亚,diplomatic relation,巴西
上海市,shares border with,江苏省
江苏省,shares border with,上海市
无障碍电梯,subclass of,无障碍设施
廖 沅文,employer,国家能源局
检察建议,subclass of,法律监督
特大城市,subclass of,城市
李林蔚,member of political party,中国共产党
国家图书馆,located in the administrative territorial entity,北京
南阳市,located in the administrative territorial entity,河南省
第134届广交会,instance of,广交会
保定市,located in the administrative territorial entity,石家庄
马鞍山,located in the administrative territorial entity,安徽
四川大学,office held by head of the organization,四川大学校长
四川大学,office held,四川大学校长
田家庵区,located in the administrative territorial entity,淮南市
洞山街道,located in the administrative territorial entity,田家庵区
嘎查,subclass of,村
环城镇地区,located in the administrative territorial entity,内蒙古自治区
中国人民保险集团,inception,1949年10月20日
中国人民保险集团,headquarters location,北京
中国人民保险集团,stock exchange,上海证券交易所
中国人民保险公司,inception,1949年10月20日
中国人民保险公司,headquarters location,北京
中国人民保险公司,stock exchange,上海证券交易所
人身险,subclass of,保险
再保险,subclass of,保险
香港联合交易所,headquarters location,香港
香港,diplomatic relation,北京
北京奥运会,location,北京
北京2022年冬奥会,point in time,2022年
冬残奥会,point in time,2022年
全国两会,participant,习近平总书记
浙江省委书记,appointed by,习近平同志
江苏,head of state,习近平同志
苏州,head of state,习近平同志
新华实验小学,located in the administrative territorial entity,杭州市
教育部,subsidiary,国家体育总局
艾森巴赫,occupation,指挥家
樟树,located in the administrative territorial entity,江西
陈高华,country of citizenship,中华人民共和国
张国旺,country of citizenship,中华人民共和国
步平王建朗,country of citizenship,中华人民共和国
安阳孝民屯,country,中华人民共和国
张生,country of citizenship,中华人民共和国
徐光,country of citizenship,中华人民共和国
2023世界VR产业大会,instance of,世界VR产业大会
临沂市,located in the administrative territorial entity,山东
临<unk>县,located in the administrative territorial entity,临沂市
国家医保局,subsidiary,国家医保局
肺部,part of,呼吸道
呼吸道疾病,afflicts,呼吸道
心绞痛,subclass of,心脑血管急性事件
心肌梗死,subclass of,心脑血管急性事件
手机,subclass of,电子设备
电脑,subclass of,电子设备
长宁区,located in the administrative territorial entity,上海
绿道,subclass of,道路
公园,subclass of,绿化
柴文睿,position held,中华人民共和国驻蒙古国特命全权大使
柴文睿,position held,中华人民共和国驻刚果共和国特命全权大使
中国和老挝山同脉、水同源,instance of,社会主义友好邻邦
中国共产党和老挝人民革命党关于构建中老命运共同体行动计划,country,中国和老挝山同脉、水同源
中国共产党和老挝人民革命党关于构建中老命运共同体行动计划,instance of,社会主义友好邻邦
中老铁路,country,中国和老挝山同脉、水同源
湘潭,located in the administrative territorial entity,湖南
拉尼尔·维克拉马辛哈,position held,斯里兰卡总统
拉尼尔·维克拉马辛哈,country of citizenship,中斯
中斯,head of state,习近平
中斯,head of state,拉尼尔·维克拉马辛哈
米胶协定,signatory,斯里兰卡总统
米胶协定,signatory,拉尼尔·维克拉马辛哈
米胶协定,signatory,中斯
中斯真诚互助、世代友好的战略合作伙伴关系,signatory,斯里兰卡总统
中斯真诚互助、世代友好的战略合作伙伴关系,signatory,拉尼尔·维克拉马辛哈
赞比里,country of citizenship,马来西亚
巴基斯坦伊斯兰共和国,head of state,习近平
安瓦尔·哈克·卡卡尔,country of citizenship,巴基斯坦伊斯兰共和国
李强,country of citizenship,巴基斯坦伊斯兰共和国
李希,country of citizenship,巴基斯坦伊斯兰共和国
巴中关系,country,巴基斯坦伊斯兰共和国
巴中关系,participant,安瓦尔·哈克·卡卡尔
人体器官捐献和移植,subclass of,器官捐献
吉尔吉斯共和国,head of government,扎帕罗夫
扎帕罗夫,country of citizenship,吉尔吉斯共和国
吉尔吉斯斯坦,head of government,扎帕罗夫
王洪祥,member of,全国人大宪法和法律委员会
卢拉总统,country of citizenship,巴西
中巴关系,country,巴西
中巴关系,participant,里拉
中巴关系,participant,习近平主席
习近平总书记,position held,中共中央政治局委员
习近平总书记,position held,全国政协副主席
中国援外医疗队,instance of,医疗队
中国妇女第十三次全国代表大会,organizer,全国妇联
丝路跨山海,part of,共建“一带一路”
习近平主席,notable work,丝路跨山海
爱国主义教育法,main subject,爱国主义
赵志国,member of,工业和信息化部
厦门,located in the administrative territorial,福建
世界互联网大会,chairperson,任贤良
任贤良,member of,世界互联网大会
赵承,member of political party,浙江省委
国家水利遗产,subclass of,水利遗产
水彩画,subclass of,绘画
彭浦镇,located in the administrative territorial entity,静安区
樟树市,located in the administrative territorial entity,江西省
东阿阿胶,headquarters location,江西省
片仔<unk>,headquarters location,江西省
扬子江,located in the administrative territorial entity,江西省
九芝堂,headquarters location,江西省
第三届“一带一路”国际合作高峰论坛,participant,习主席
共建“一带一路”,participant,习主席
一带一路,participant,习近平主席
杭州亚运会,location,杭州市
国家铁路局,different from,中国国家铁路集团有限公司
中国国家铁路集团有限公司,different from,国家铁路局
欧美同学会,founded by,习近平总书记
王义桅,employer,中国人民大学
义乌市,located in the administrative territorial entity,浙江省
香港特别行政区,diplomatic relation,澳门特别行政区
澳门特别行政区,diplomatic relation,香港特别行政区
中央和国家机关第二届运动会,organizer,中央和国家机关工委
中央和国家机关第二届运动会,organizer,国家体育总局
中央和国家机关第二届运动会,sport,田径
湿地保护法,country,中华人民共和国
第4届亚洲残疾人运动会,location,杭州
第19届亚运会,participant,平亚丽
第4届亚残运会,participant,平亚丽
1984年纽约残奥会,participant,平亚丽
横琴,part of,大湾区
前海,part of,大湾区
南沙,part of,大湾区
河套,part of,大湾区
香港科学园,located in the administrative territorial entity,香港
香港星,part of,嫦娥五号工程
丝绸之路,continent,亚洲
丝绸之路,continent,欧洲
万里,continent,亚洲
