head,relation,tail
2019年“修例风波”,location,香港
中央人民政府驻香港特别行政区维护国家安全公署,applies to jurisdiction,香港特别行政区
香港基本法,applies to jurisdiction,香港特别行政区
香港长治久安,located in the administrative territorial entity,香港特别行政区
香港国安法,applies to jurisdiction,香港特别行政区
香港,office held by head of government,特区行政长官
香港,main regulatory text,香港基本法
特区行政长官,applies to jurisdiction,香港
威宁彝族回族苗族自治县,located in the administrative territorial entity,毕节
河北省,shares border with,天津
涿鹿县,located in the administrative territorial entity,张家口市
天津,shares border with,河北省
山同脉,located in the administrative territorial entity,河北省
济淮,located in the administrative territorial entity,安徽省
安庆师范大学,located in the administrative territorial entity,安徽省
2022年,point in time,2024年
老楼加装电梯,subclass of,加装电梯
老楼加装电梯,subclass of,加梯地图
专利密集型产业,subclass of,知识产权
孔雀河,located in the administrative territorial entity,新疆
改革开放,facet of,中国式现代化建设
海南,instance of,省份
江西,shares border with,福建
梅睿孟,country of citizenship,英国
伦敦金融城,country,英国
国家发展改革委,chairperson,伍浩
伍浩,member of,国家发展改革委
北京宣武医院,located in the administrative territorial entity,雄安新区
北京大学人民医院,located in the administrative territorial entity,雄安新区
王明口镇,located in the administrative territorial entity,项城市
世界知识产权组织,chairperson,邓鸿森
邓鸿森,employer,世界知识产权组织
中国全过程人民民主,subclass of,社会主义民主
阿尔巴尼斯,member of political party,澳工党
澳工党,chairperson,阿尔巴尼斯
阿尔巴尼斯,member,澳工党
澳大利亚,head of state,习近平主席
姆南加古瓦,member of political party,津巴布韦民盟
穆欣古里,member of political party,津巴布韦民盟
多米尼克,head of government,罗斯福·斯凯里特
罗斯福·斯凯里特,country of citizenship,多米尼克
匈塞铁路,country,塞尔维亚
贝诺段,part of,匈塞铁路
贝诺段,country,塞尔维亚
贝诺段,terminus,诺维萨德
保守党,country,英国
工党,country,英国
西班牙,capital,特立尼达
特立尼达,country,西班牙
多巴哥,country,西班牙
德弗雷塔斯,position held,参议长
安妮塞特—乔治,position held,参议长
里吉斯,member of political party,人民民族运动党
比塞萨尔,member of political party,人民民族运动党
阿鲁沙综合体育场,country,坦桑尼亚
阿鲁沙综合体育场,located in the administrative territorial entity,达累斯萨拉姆
喀什大学,located in the administrative territorial entity,新疆
叶刘淑仪,member of political party,香港新民党
固安县,located in the administrative territorial entity,河北省
北京,located in the administrative territorial entity,河北省
种苗,subclass of,育苗
线上预约,subclass of,预约
星甸街道,located in the administrative territorial entity,浦口区
黄水根,employer,江西省康复辅具技术中心
路战远,educated at,内蒙古大学
路战远,award received,国家科技进步奖
大蜘洲,located in the administrative territorial entity,珠海市
国家统计局,subsidiary,国家统计局社科文司
国家统计局社科文司,part of,国家统计局
市场监管总局,subsidiary,国家粮食和储备局
西什库小学,located in the administrative territorial entity,西城区
前门大街,located in the administrative territorial entity,东城区
中国银行保险信息技术管理有限公司,instance of,银行
中国气象局,subsidiary,中国气象局地球系统数值预报中心
中国气象局地球系统数值预报中心,owned by,中国气象局
消费维权,facet of,消费
上海电信,headquarters location,上海
高栏港大桥,carries,黄茅海跨海通道
黄茅海大桥,carries,黄茅海跨海通道
中国铁路昆明局集团有限公司,item operated,中老
慕思健康睡眠,instance of,企业
文学艺术,subclass of,文化
文学艺术,sub,文化
北京国际科技创新中心,field of work,科技创新
交通运输部,subsidiary,交通运输部海事局
交通运输部海事局,part of,交通运输部
保山市,located in the administrative territorial entity,云南省
芒宽彝族傣族乡,located in the administrative territorial entity,隆阳区
农业农村部,headquarters location,京
最高人民法院,headquarters location,京
最高人民检察院,headquarters location,京
工业和信息化部,headquarters location,京
公安部,headquarters location,京
市场监管总局,headquarters location,京
中华全国供销合作总社,headquarters location,京
江洲镇,located in the administrative territorial entity,柴桑区
红谷滩区,located in the administrative territorial entity,南昌
新建区,located in the administrative territorial entity,南昌
进贤县,located in the administrative territorial entity,南昌
友兴缘农资经营部,located in the administrative territorial entity,平谷区
那曲市,located in the administrative territorial entity,西藏
雁石县,located in the administrative territorial entity,那曲市
平潭县,located in the administrative territorial entity,福州市
中共中央国务院关于支持福建探索海峡两岸融合发展新路 建设两岸融合发展示范区的意见,author,中共中央台办
