head,relation,tail
闽中,located in the administrative territorial entity,闽
水井,contains,水
绥德油旋儿,indigenous to,绥德
总体国家安全观,subclass of,国家安全
彼得·佩列格里尼,position held,斯洛伐克共和国总统
湖州市,located in the administrative territorial entity,江西省
冉永平,spouse,丁怡婷
丁怡婷,spouse,冉永平
大病保险,subclass of,基本医保
大病保险,subclass,基本医保
张店镇,located in the administrative territorial entity,鹿邑县
万年县,located in the administrative territorial entity,上饶市
裴梅镇,located in the administrative territorial entity,万年县
第九届亚洲冬季运动会,start time,2025年2月7日
第九届亚冬会,start time,2025年2月7日
酸角树,country,柬埔寨
墨西哥,diplomatic relation,巴西
墨西哥,diplomatic relation,巴拿马
墨西哥,diplomatic relation,多米尼加
巴拿马,diplomatic relation,巴西
巴拿马,diplomatic relation,墨西哥
巴拿马,diplomatic relation,多米尼加
多米尼加,diplomatic relation,巴西
多米尼加,diplomatic relation,墨西哥
德国总理朔尔茨,date of birth,1958年6月
德国总理朔尔茨,country of citizenship,德国
德国总理朔尔茨,educated at,汉堡大学
德国总理朔尔茨,position held,德国联邦总理
德国,head of government,德国总理朔尔茨
德国,office held by head of government,德国联邦总理
下萨克森州,located in the administrative territorial entity,德国
奥斯纳布吕克市,country,德国
奥斯纳布吕克市,located in the administrative territorial entity,下萨克森州
汉堡大学,country,德国
汉堡大学,headquarters location,奥斯纳布吕克市
德国联邦总理,country,德国
习近平,notable work,习近平谈治国理政
巴黎,located in or next to body of water,苏州河
巴黎,located in or next to body of water,塞纳河
六区,country,法国
六区,located in the administrative territorial entity,巴黎
苏州河,country,法国
苏州河,mouth of the watercourse,塞纳河
塞纳河,country,法国
上海美术学院,located in the administrative territorial entity,上海
中老铁路国际旅客列车,director / manager,叶传增
莱拉托·马塔博格,country of citizenship,南非
大钟寺古钟博物馆,instance of,博物馆
大钟寺古钟博物馆,instance,博物馆
陈丽君,occupation,演员
绥滨县,located in the administrative territorial entity,鹤岗市
松骨峰阻击战,location,松骨峰
松骨峰,significant event,松骨峰阻击战
抗美援朝,instance of,战争
川藏公路博物馆,located in the administrative territorial entity,成都
雷锋纪念馆,located in the administrative territorial entity,成都
沿江码头,located in or next to body of water,长江
甲骨文,collection,复旦大学出土文献与古文字研究中心
汉字,subclass of,文字
扬州玉雕代表性传承人,heritage designation,国家级非物质文化遗产
张海,field of work,书法
蔡华伟,occupation,美术工作者
习近平总书记重要指示批示精神,author,习近平总书记
2022年,point in time,2023年
罗东,employer,农业农村部
山东,capital,菏泽
可克达拉市,located in the administrative territorial entity,新疆
天津,part of,津冀
滨海,located in the administrative territorial entity,天津
孟姑集镇,located in the administrative territorial entity,嘉祥县
农业农村部,subsidiary,农产品质量安全监管司
习近平,significant event,习近平主席对美国进行国事访问
习近平主席对美国进行国事访问,participant,习近平
阿斯旺沙漠,country,埃及
埃及国家电网,country,埃及
莫拉·弗朗茨博物馆,country,匈牙利
莫拉·弗朗茨博物馆,located in the administrative territorial entity,塞格德
塞格德,country,匈牙利
余向荣,occupation,经济学家
喀麦隆吕—曼金公路,terminus location,雅温得
苏博拉高原,located in the administrative territorial entity,雅温得
宽阔的现实主义:中国与西班牙当代油画展,country,西班牙
宽阔的现实主义:中国与西班牙当代油画展,location,马德里皇宫
马德里皇宫,country,西班牙
姚敬,country of citizenship,西班牙
博拉尼奥斯,country of citizenship,西班牙
安东尼奥·洛佩斯,country of citizenship,西班牙
靳尚谊,country of citizenship,西班牙
全山石,country of citizenship,西班牙
海河教育园区,located in the administrative territorial entity,天津市
龙山镇,located in the administrative territorial entity,丹江口市
习近平关于金融工作论述摘编,author,习近平同志
总体国家安全观,creator,习近平总书记
南岸镇,located in the administrative territorial entity,绥江县
新市镇,located in the administrative territorial entity,屏山县
博山区,located in the administrative territorial entity,淄博市
新能源汽车,manufacturer,小米汽车
大许寨镇,located in the administrative territorial entity,太康县
网约车,subclass of,物流
高山峡谷,located in the administrative territorial entity,福建
杨金龙,educated at,杭州技师学院
梓匠轮舆,occupation,大国工匠
总体国家安全观,part of,习近平新时代中国特色社会主义思想
国家安全,creator,习近平同志
新质生产力,author,盖凯程
新质生产力,author,韩文龙
实体经济,subclass,金融
南麂岛,located in the administrative territorial entity,温州市
金色沙滩,located in the administrative territorial entity,温州市
全民国家安全教育日,subclass of,国家安全教育
全民国家安全教育日,subclass of,国家安全
全民国家安全教育日,sub,国家安全
2024年全民国家安全教育日普法,instance of,全民国家安全教育日
天河国际机场,place served by transport hub,武汉
石湖码头,located in the administrative territorial entity,泉州市
石湖码头六胜塔世界遗产点保护管理站,located in the administrative territorial entity,泉州市
苏堤春晓,production company,中国国家话剧院
高文,member of,中国工程院
高文,educated at,北京大学
吴文俊,member of,中国工程院
吴文俊,educated at,北京大学
中国航天科技集团,subsidiary,六院研制团队
六院研制团队,owned by,中国航天科技集团
方璐,educated at,清华大学
昌吉州,located in the administrative territorial entity,新疆维吾尔自治区
吉木萨尔县,located in the administrative territorial entity,昌吉回族自治州
二工镇,located in the administrative territorial entity,吉木萨尔县
重庆铁路客运站,owned by,国铁集团
国铁集团,item operated,重庆铁路客运站
自治区卫生健康委,applies to jurisdiction,广西壮族自治区
自治区中医药管理局,applies to jurisdiction,广西壮族自治区
自治区疾病预防控制局,applies to jurisdiction,广西壮族自治区
自治区党委,applies to jurisdiction,广西壮族自治区
吴集镇,located in the administrative territorial entity,衡东县
应急管理部,office held by head of the organization,应急管理部有关负责人
2024年国际举联世界杯,point in time,2024年
东京奥运会,participant,李发彬
八万人体育场,located in the administrative territorial entity,上海
上海申花队,league,中超联赛
北京工人体育场,located in the administrative territorial entity,上海
苏亚雷斯,member of sports team,上海申花队
吴江站,located in the administrative territorial entity,苏州
塞缪尔·沃森,country of citizenship,美国
曹龙,country of citizenship,美国
济源,located in the administrative territorial entity,河南省
终极格斗冠军赛(UFC)300,country,美国
终极格斗冠军赛(UFC)300,sport,综合格斗
杰西卡·安德拉德,significant event,终极格斗冠军赛(UFC)300
高新区第一中学,located in the administrative territorial entity,济南市
严惜蓦,sport,围棋
冯韵嘉,sport,围棋
雷挺婕,country of citizenship,中国
谭中怡,country of citizenship,中国
戈尔亚奇金娜,country of citizenship,俄罗斯
埃及,member of,联合国教科文组织
金字塔,country,埃及
狮身人面像,country,埃及
新华社北京4月14日电,office held by head of the organization,外交部发言人
南马托格罗索州,located in the administrative territorial entity,巴西
巴西农牧业部,country,巴西
泼水节,country,泰国
琅勃拉邦省,country,老挝
南戈壁省,located in the administrative territorial entity,蒙古国
蒙古国紧急情况总局,country,蒙古国
紧急情况部门,country,蒙古国
韩国企划财政部,country,韩国
韩国产业通商资源部,country,韩国
东京都,located in the administrative territorial entity,日本
回族土族自治县,located in the administrative territorial entity,海东市
个人信息,facet of,个人信息权
个人信息权,facet of,个人信息
本勒·新赛沃拉翁,position held,老挝人民民主共和国银行行长
埃塞俄比亚财政部,country,埃塞俄比亚
阿卜杜拉哈曼·阿尔—法季,employer,沙特基础工业公司
沙特基础工业公司,chief executive officer,阿卜杜拉哈曼·阿尔—法季
桑百川,employer,对外经济贸易大学
滨江市,located in the administrative territorial entity,无锡市
浙江监管局,part of,国家金融监督管理总局
浙江省发展改革委,part of,国家金融监督管理总局
开尔文,part of,冰箱
张冶文,educated at,同济大学
刘诗瑶,educated at,同济大学
荣成,located in the administrative territorial entity,威海市
高温气冷堆,service entry,2023年12月6日
高温气冷堆,located in the administrative territorial entity,荣成
高温气冷堆,service,2023年12月6日
大围山,located in the administrative territorial entity,湖南
<unk>山,located in the administrative territorial entity,湖南
道吾山,located in the administrative territorial entity,湖南
黑麋峰,located in the administrative territorial entity,湖南
影珠山,located in the administrative territorial entity,湖南
浏阳市,located in the administrative territorial entity,湖南
七星峰,located in the administrative territorial entity,湖南
刘公岛,located in the administrative territorial entity,威海
陈子奋,field of work,中国画
小榆树,parent taxon,榆树
三月江南烟雨,located in the administrative territorial entity,江南
中华文明,subclass of,文化遗产
中华优秀文明,subclass of,文化遗产
中华优秀文明,subclass,文化遗产
比亚迪股份有限公司,chief executive officer,王传福
王传福,employer,比亚迪股份有限公司
比亚迪,chief executive officer,王传福
珠江口,located in the administrative territorial entity,南沙区
凯蒂·维达尔,employer,美国专利商标局
饶平南站,connecting line,漳汕高铁
中国国际消费品博览会,located in the administrative territorial entity,海南
海南国际会展中心,located in the administrative territorial entity,海南
湖江镇,located in the administrative territorial entity,赣县区
财政部,subsidiary,住房城乡建设部
住房城乡建设部,part of,财政部
萨内莱·恩图利,educated at,德班理工大学孔子学院
斯派克·米林顿,employer,中国—欧盟生物多样性项目
中国—欧盟生物多样性项目,director / manager,斯派克·米林顿
阿拉善牧区,located in the administrative territorial entity,内蒙古
青藏高原,located in the administrative territorial entity,内蒙古
拜波,country of citizenship,中非共和国
中非共和国外交部,chairperson,王毅
中非共和国外交部,country,中非共和国
伊朗驻叙利亚使馆馆舍遇袭事件,country,伊朗
中华人民共和国外交部长,country,中华人民共和国
中非共和国外长,country,中华人民共和国
拜波,position held,中非共和国外长
双边关系,country,中华人民共和国
习近平主席提出的全球发展倡议,creator,习近平主席
全球安全倡议,follows,习近平主席提出的全球发展倡议
中非方,office held by head of government,中非共和国外长
