head,relation,tail
弗雷索城,country,葡萄牙
伊拉克,located in or next to body of water,波斯湾
波斯湾,basin country,伊拉克
法奥港,country,伊拉克
卡西斯,position held,瑞士联邦委员兼外长
中瑞关系,participant,王毅
中瑞关系,participant,卡西斯
多琳,member of,国际电信联盟
保加利亚,capital,索非亚
索非亚,country,保加利亚
多布里奇,country,保加利亚
龙年新春文化交流活动,country,中国
伊 霄,country of citizenship,中国
希里莫夫,country of citizenship,土库曼斯坦
应急管理部门,part of,国务院办公厅
县级以上人民政府应急管理部门,part of,国务院办公厅
海沧,located in the administrative territorial entity,厦门
妙峰山民族学校,located in the administrative territorial entity,北京
周庄古镇,located in the administrative territorial entity,昆山
繁花,original broadcaster,中央广播电视总台
中国证券监督管理委员会,chairperson,吴清同志
吴清,position held,中国证券监督管理委员会主席
郝增茂,place of birth,邱县
日昇昌票号,instance of,晋剧
车厘子直航快线,located in the administrative territorial entity,京津冀
天津港,located in the administrative territorial entity,京津冀
阿图什市,located in the administrative territorial entity,新疆
国家卫生健康委,country,中华人民共和国
儿童青少年总体近视率,subclass of,视力问题
视力问题,subclass of,视力问题
恩克斯堡岛,located in or next to body of water,罗斯海
自然资源部,subsidiary,国家海洋局
控江路街道,located in the administrative territorial entity,杨浦区
2024年最低生产计划,point in time,2024年
不动产登记,subclass of,登记
农业强国,part of,社会主义现代化强国
寿光,located in the administrative territorial entity,山东
连山壮族瑶族自治县,located in the administrative territorial entity,清远市
上帅镇,located in the administrative territorial entity,连山壮族瑶族自治县
乐都区,located in the administrative territorial entity,海东市
寿乐镇,located in the administrative territorial entity,乐都区
董家街道,located in the administrative territorial entity,历城区
湘东区,located in the administrative territorial entity,萍乡市
理塘,located in the administrative territorial entity,甘孜藏族自治州
百年未有之大变局,participant,习近平
老舍,notable work,正红旗下
正红旗下,author,老舍
仁丰里,located in the administrative territorial entity,扬州市
杖头木偶戏,instance of,非遗技艺
山西,highest point,吕梁山
重庆,highest point,吕梁山
人力资源社会保障部,subsidiary,国家发展改革委
人力资源社会保障部,subsidiary,教育部
人力资源社会保障部,subsidiary,科技部
人力资源社会保障部,subsidiary,财政部
人力资源社会保障部,subsidiary,全国总工会
邓南街道,located in the administrative territorial entity,武汉经济技术开发区
彭珍东,employer,武汉经济技术开发区
国铁上海局,item operated,杭州东站
中国国家铁路集团有限公司,subsidiary,武汉局集团公司
中国国家铁路集团有限公司,subsidiary,北京局集团公司
武汉局集团公司,headquarters location,武汉
北京局集团公司,headquarters location,武汉
车厘子,subclass of,坚果
坚果,natural product of taxon,甘蔗
本期统筹,author,何宇澈
内蒙古冰上运动训练中心,located in the administrative territorial entity,呼伦贝尔市
同安区,located in the administrative territorial entity,厦门市
安宁区,located in the administrative territorial entity,兰州市
全国全民健身大拜年活动,organizer,国家体育总局
庆岭镇,located in the administrative territorial entity,高县
孙瑜洁,place of birth,浙江
李雪,place of birth,甘肃
谢瑜,place of birth,贵州
安特卫普,country,比利时
贝伦,country,巴西
匈牙利,diplomatic relation,巴西
肖普朗,country,匈牙利
陈芋汐,sport,跳水队
全红婵,sport,跳水队
双人十米台,sport,跳水队
