head,relation,tail
沃野千里,located in the administrative territorial entity,黑龙江
金黄,located in the administrative territorial entity,黑龙江
白鹤滩水电站,located in the administrative territorial entity,黑龙江
张广军,member of,科技部
朱杨柱,occupation,航天员
桂海潮,occupation,航天员
教育部,subsidiary,教育部基础教育司司长
教育部基础教育司司长,part of,教育部
田祖荫,educated at,教育部
田祖荫,position held,教育部基础教育司司长
雄安新区,instance of,新区
马渚镇,located in the administrative territorial entity,余姚市
中国商用飞机有限责任公司,headquarters location,广州
ARJ21客改货飞机,manufacturer,中国商用飞机有限责任公司
共建“一带一路”,participant,沙特
博纳,position held,法国总统外事顾问
中法战略对话,participant,王毅
中法战略对话,participant,博纳
塔吉克斯坦,diplomatic relation,亚美尼亚
米尔佐,country of citizenship,塔吉克斯坦
亚美尼亚,diplomatic relation,塔吉克斯坦
帕皮基扬,country of citizenship,亚美尼亚
扎克瑟雷科夫,country of citizenship,哈萨克斯坦
哈恰图良,country of citizenship,塔吉克斯坦
绍伊古,position held,俄罗斯国防部长
萨法迪,country of citizenship,约旦
中约关系,country,约旦
阿拉伯联合酋长国,capital,阿布扎比
阿布扎比,country,阿拉伯联合酋长国
金沙江,located in the administrative territorial entity,云南
澜沧江,located in the administrative territorial entity,云南
怒江,located in the administrative territorial entity,云南
红河,located in the administrative territorial entity,云南
昌吉—古泉±1100千伏特高压直流输电工程,located in the administrative territorial entity,昌吉回族自治州
昌吉换流站,located in the administrative territorial entity,昌吉回族自治州
共建“一带一路”,part of,东非地区互联互通
钱塘江,mouth of the watercourse,长江
李子坝,located in the administrative territorial entity,重庆
韩春瑶文,field of work,造船业
移动互联网未成年人模式建设指南,publisher,国家网信办
浙江自贸试验区,instance of,自由贸易试验区
浙江自贸试验区,inception,2017年4月1日
闻集乡,located in the administrative territorial entity,虞城县
习近平主席,position held,全国人大常委会副委员长
徐程,educated at,中建铁投华南建设有限公司
八廓街,located in the administrative territorial entity,拉萨
驷马镇,located in the administrative territorial entity,平昌县
乌江镇,located in the administrative territorial entity,甘州区
财政部,subsidiary,财政部有关负责人
金融,part of,国民经济
李克强同志,position held,国务院原总理
裴德乐,country of citizenship,古巴
谌贻琴,position held,国务院副总理
全国妇联,subsidiary,全国妇联妇女研究所
习近平新时代中国特色社会主义思想,facet of,改革开放
共建中国—中亚命运共同体,facet of,改革开放
中国载人航天工程办公室,occupation,航天员
航天员,subclass of,航天员
岳麓区,located in the administrative territorial entity,长沙市
奈瓦沙湖,country,肯尼亚
国家国际发展合作署,chairperson,罗照辉
罗照辉,position held,国家国际发展合作署署长
阿布巴卡尔,country of citizenship,尼日利亚
阿塞拜疆,diplomatic relation,尼日利亚
加桑诺夫,country of citizenship,阿塞拜疆
黄永宏,country of citizenship,新加坡
迪西哈,country of citizenship,柬埔寨
中尼关系,country,尼日利亚
中尼关系,country,阿塞拜疆
中尼关系,participant,加桑诺夫
中尼关系,participant,新加坡
中尼关系,participant,黄永宏
中尼关系,participant,迪西哈
尼中友好交往,country,尼日利亚
尼中友好交往,country,阿塞拜疆
尼中友好交往,participant,加桑诺夫
尼中友好交往,participant,新加坡
巴布亚新几内亚,diplomatic relation,津巴布韦
津巴布韦,diplomatic relation,巴布亚新几内亚
穆欣古里,country of citizenship,津巴布韦
姆南加古瓦,country of citizenship,津巴布韦
敏昂莱,position held,缅甸国家管理委员会主席
王小洪,position held,缅甸国家管理委员会主席
帕夫洛普洛斯,country of citizenship,希腊
慎海雄,country of citizenship,中国
潘古党,chairperson,马拉佩
马拉佩,member of political party,潘古党
人民全国代表大会,chairperson,奥尼尔
奥尼尔,member of political party,人民全国代表大会
天宁区,located in the administrative territorial entity,常州市
钟楼区,located in the administrative territorial entity,常州市
青枫公园站,located in the administrative territorial entity,常州市
习近平总书记,member of political party,全国妇联
全国妇联,founded by,习近平总书记
宪法,signatory,习近平
全国人大常委会办公厅,office held by head of the organization,全国人大代表
秭归港,located in the administrative territorial entity,秭归县
共建“一带一路”,named after,丝路精神
2023年前三季度国民经济运行情况,publisher,国家统计局
2023年前三季度国民经济运行情况,main subject,国民经济
陈艳辉,occupation,送教教师
陈二文,occupation,送教教师
全面推行河湖长制,instance of,政策
连江鲍鱼,instance of,地理标志
坦洋工夫,instance of,地理标志
云霄枇杷,instance of,地理标志
前湾港码头,located in the administrative territorial entity,青岛
黄岛口岸,located in the administrative territorial entity,青岛
青岛海关,located in the administrative territorial entity,青岛
黄岛海关,located in the administrative territorial entity,青岛
安纯沟门镇,located in the administrative territorial entity,滦平县
潼康,located in the administrative territorial entity,安纯沟门镇
喀什市,located in the administrative territorial entity,新疆维吾尔自治区
哈萨克斯坦,part of,中亚南亚
吉尔吉斯斯坦,part of,中亚南亚
塔吉克斯坦,part of,中亚南亚
土库曼斯坦,part of,中亚南亚
乌兹别克斯坦,part of,中亚南亚
巴基斯坦,part of,中亚南亚
尼泊尔,part of,中亚南亚
斯里兰卡,part of,中亚南亚
印度,part of,中亚南亚
苍南县,located in the administrative territorial entity,浙江省
鲁城街道,located in the administrative territorial entity,曲阜
鲁城街道,located in,曲阜
渝康宁蜀绣艺术研究院,located in the administrative territorial entity,重庆
东风着陆场执行第五次载人飞船搜索和航天员救援任务,vehicle,神舟十六号载人飞船返回舱
神舟十五号返回任务,vehicle,神舟十六号载人飞船返回舱
沙拉村,located in the administrative territorial entity,贵南县
国家统计局,subsidiary,服务业调查中心
服务业调查中心,part of,国家统计局
装备制造业,subclass,制造业
佳木斯大学,located in the administrative territorial entity,浙江省
扬子江,located in the administrative territorial entity,江苏
宁镇,located in the administrative territorial entity,扬子江
总书记,applies to jurisdiction,江苏
金砖国家合作机制,part of,金砖国家
中国国际可持续交通创新和知识中心,inception,2022年10月14日
贝达药业,headquarters location,杭州市
实体经济,subclass of,金融
长春,twinned administrative body,哈尔滨
纽伦堡国际发明展,country,德国
王红,educated at,清华大学
泰国经济,location,泰国
泰国商业部,country,泰国
伦纳隆,country of citizenship,泰国
泰国农业经济办公室,country,泰国
白米,country of origin,泰国
茉莉香米,country of origin,泰国
蒸谷米,country of origin,泰国
糯米,country of origin,泰国
迈杰希·彼得,country of citizenship,匈牙利
巴西,currency,雷亚尔
亚马孙地区,country,巴西
巴西国家自然灾害监测和警报中心,country,巴西
雷亚尔,country,巴西
巴西社会发展和援助、家庭和抗击饥饿部,country,巴西
马瑙斯市,country,巴西
内罗毕,located in the administrative territorial entity,浙江
英国伯明翰地方政府,located in the administrative territorial entity,伯明翰
瑟罗克,located in the administrative territorial entity,伯明翰
克罗伊登,located in the administrative territorial entity,伯明翰
斯劳,located in the administrative territorial entity,伯明翰
北安普敦郡,located in the administrative territorial entity,伯明翰
主流媒体,subclass of,媒体
经济日报社,owned by,本报记者
中国日报,main subject,习近平新时代中国特色社会主义思想
人民网,headquarters location,武汉
李良荣,educated at,复旦大学
陈昌凤,educated at,清华大学
彭兰,educated at,中国人民大学
张志安,educated at,复旦大学
东三环,located in the administrative territorial entity,北京市
黄秋英,part of,赏秋好时节
粉黛,part of,赏秋好时节
国家市场监督管理总局,subsidiary,中国物品编码中心
中国物品编码中心,part of,国家市场监督管理总局
阜南县,located in the administrative territorial entity,安徽
