head,relation,tail
2024年世界田联钻石联赛,point in time,2024年
杜普兰蒂斯,sports discipline competed in,撑杆跳高
滕海宁,sports discipline competed in,撑杆跳高
巩立姣,sports discipline competed in,撑杆跳高
谭中怡,sport,国际象棋
戈尔亚奇金娜,sport,国际象棋
瓦伊莎丽,sport,国际象棋
联想中国大奖赛,location,上海国际赛车场
维斯塔潘,member of sports team,红牛车队
诺里斯,member of sports team,迈凯伦车队
佩雷兹,member of sports team,迈凯伦车队
周冠宇,member of sports team,红牛车队
韦奕,sport,国际象棋
余泱漪,sport,国际象棋
薛皓文,sport,国际象棋
新加坡,diplomatic relation,文莱
文莱,diplomatic relation,新加坡
巴西,diplomatic relation,安哥拉
安哥拉,diplomatic relation,巴西
洛伦索,country of citizenship,安哥拉
谢锋,position held,中国驻美国大使
印度尼西亚,diplomatic relation,中国
巴基斯坦总理办公室,country,巴基斯坦
巴基斯坦国立现代语言大学,country,巴基斯坦
印度尼西亚国家粮食局,headquarters location,雅加达
土耳其,diplomatic relation,埃及
埃及,diplomatic relation,土耳其
金山银山,instance of,生态环境保护
酶,subclass of,微生物
微生物,subclass of,生物体
湘江新区,located in the administrative territorial entity,湖南
远泰生物,headquarters location,湖南
咸阳国际机场,located in the administrative territorial entity,锡
常泰长江大桥,located in the administrative territorial entity,锡
阿拉丁无人机有限公司,headquarters location,深圳
阿拉丁无人机有限公司,headquarters location,深圳市
阿拉丁无人机有限公司,headquarters,深圳
中国科学院高能物理研究所,located in the administrative territorial entity,北京
滨松公司,country,日本
3号坑出土,collection,三星堆博物馆
顶尊跪坐人像,collection,三星堆博物馆
8号坑出土,collection,三星堆博物馆
涉县,located in the administrative territorial entity,邯郸市
韩文佳,educated at,齐鲁工业大学
书海游弋,instance of,世界读书日
广东,shares border with,四川
四川,shares border with,广东
志愿服务,subclass of,社会主义核心价值观
铜陵,mouth of the watercourse,长江
汉,mouth of the watercourse,长江
西陈村,located in the administrative territorial entity,黄河滩区
安哥拉,diplomatic relation,佛得角
安哥拉,diplomatic relation,几内亚
巴西,diplomatic relation,佛得角
巴西,diplomatic relation,几内亚
佛得角,diplomatic relation,安哥拉
佛得角,diplomatic relation,巴西
几内亚,diplomatic relation,安哥拉
几内亚,diplomatic relation,巴西
谌贻琴,position held,全国妇联副主席
黄晓薇,position held,全国妇联副主席
统一社会信用代码数据服务中心,part of,市场监管总局
吉林省,executive body,吉林省委
吉林省,office held by head of government,省长
吉林省委,applies to jurisdiction,吉林省
省长,applies to jurisdiction,吉林省
胡玉亭,place of birth,吉林省
胡玉亭,member of political party,吉林省委
胡玉亭,position held,省长
长光卫星,located in the administrative territorial entity,吉林省
美国,significant event,第二次世界大战
中华文明,instance of,历史文化
柬埔寨,head of government,孙占托
孙占托,country of citizenship,柬埔寨
中柬政府间协调委员会,headquarters location,金边
中柬政府间协调委员会,country,柬埔寨
中柬命运共同体,headquarters location,金边
中柬命运共同体,country,柬埔寨
舍拉迪尔·巴克特古洛夫,country of citizenship,吉尔吉斯斯坦
中吉两国,country,吉尔吉斯斯坦
新华社里斯本4月22日电,country,葡萄牙
莱里亚市,country,葡萄牙
洛佩斯,country of citizenship,葡萄牙
上海大学,headquarters location,上海
布拉加,country,葡萄牙
伦敦·布里德,country of citizenship,美国
旧金山动物园,located in the administrative territorial entity,旧金山市
马杜罗·格拉,member of,委内瑞拉全国代表大会委中议员友好小组代表团
委内瑞拉全国代表大会委中议员友好小组代表团,chairperson,马杜罗·格拉
穆罕默德,country of citizenship,马来西亚
考文垂,country,英国
习近平同志,residence,浙江
马不停蹄,manufacturer,领克新能源汽车超级工厂
新能源汽车,manufacturer,领克新能源汽车超级工厂
长沙,located in or next to body of water,梅溪湖
梅溪湖,located in the administrative territorial entity,湖南
淡水河谷—中南大学低碳和氢冶金联合实验室,located in the administrative territorial entity,长沙
湘江新区,located in the administrative territorial entity,长沙
博雅塔,country,日本
北京大学全球课堂春季学期,part of,北京大学
阿塞拜疆,diplomatic relation,日本
日本,diplomatic relation,阿塞拜疆
长三角,located in the administrative territorial entity,京津冀
颐和园,located in the administrative territorial entity,海淀区
万寿山,located in the administrative territorial entity,海淀区
香山,located in the administrative territorial entity,海淀区
玉泉山,located in the administrative territorial entity,海淀区
静宜园,located in the administrative territorial entity,海淀区
静明园,located in the administrative territorial entity,海淀区
圆明园,located in the administrative territorial entity,海淀区
畅春园,located in the administrative territorial entity,海淀区
北江,mouth of the watercourse,珠江
北江,located in the administrative territorial entity,广东省
江西昌九高铁,located in the administrative territorial entity,南昌
扬子洲,located in the administrative territorial entity,南昌
赣江公铁大桥,located in the administrative territorial entity,南昌
京港(台)通道,located in the administrative territorial entity,南昌
韩勇,member of political party,中国共产党
凌成兴,employer,中国烟草总公司
广西壮族自治区人大常委会,part of,中共中央
张秀隆,member of political party,中国共产党
京,part of,京津冀
洛水,located in the administrative territorial entity,河南省
社会主义现代化国家新征程,creator,党中央
藏北高原,located in the administrative territorial entity,西藏
那曲,located in the administrative territorial entity,西藏
欧玛亭嘎,located in the administrative territorial entity,西藏
天山,located in the administrative territorial entity,西藏
国家能源局,applies to jurisdiction,西藏
何平作,position held,全国人大宪法和法律委员会副主任委员
鹊桥二号,part of,神舟十八号载人飞船计划
嫦娥六号,part of,神舟十八号载人飞船计划
爱因斯坦探针卫星,part of,神舟十八号载人飞船计划
汤洪宇,astronaut mission,神舟十八号载人飞船计划
沈竹林,employer,国家数据局
辽宁省,office held by head of government,省长
辽宁省委,applies to jurisdiction,辽宁省
省长,applies to jurisdiction,辽宁省
李乐成,member of political party,辽宁省委
李乐成,position held,省长
晋陕峡谷,located on terrain feature,黄河
阿吉兰兄弟控股集团,country,沙特阿拉伯
阿吉兰兄弟控股集团,founded by,穆罕默德·艾尔·阿吉兰
