head,relation,tail
静海区,located in the administrative territorial entity,天津市
台头镇,located in the administrative territorial entity,静海区
稻浪金黄,located in or next to body of water,湘江
青阳县,located in the administrative territorial entity,池州市
蓉城镇,located in the administrative territorial entity,青阳县
沙井街道,located in the administrative territorial entity,宝安区
国家标准2023,located in the administrative territorial entity,北京
2023年中国国际服务贸易交易会,point in time,2023年
海南电网公司,located in the administrative territorial entity,海南省
北京大学人民医院,country,乌兹别克斯坦
乌兹别克斯坦,anthem,中乌两国国旗
拉贾布·伊布,country of citizenship,乌兹别克斯坦
中国全过程人民民主,subclass of,民主
王毅,country of citizenship,柬埔寨
柬埔寨大选,country,柬埔寨
柬埔寨大选,successful candidate,洪森
柬埔寨大选,candidate,王毅
柬埔寨大选,candidate,习近平主席
阿西河,country,肯尼亚
斯瓦克河,country,肯尼亚
斯瓦克河,mouth of the watercourse,阿西河
斯瓦克项目,country,肯尼亚
赖清德,position held,中国台湾地区副领导人
巴拉圭,significant event,巴总统就职典礼
巴总统就职典礼,country,巴拉圭
台海局势持续紧张,participant,中国台湾地区副领导人
台海局势持续紧张,participant,美国
台湾问题,office held by head of government,中国台湾地区副领导人
科科迪斜拉桥,country,科特迪瓦
科科迪斜拉桥,located in the administrative territorial entity,阿比让
科科迪桥,country,科特迪瓦
科科迪桥,located in the administrative territorial entity,阿比让
科特迪瓦总统瓦塔拉,country of citizenship,科特迪瓦
舒兰市,located in the administrative territorial entity,吉林
榆树市,located in the administrative territorial entity,吉林
七下八上,has cause,台风“杜苏芮”
锦州,located in the administrative territorial entity,辽宁
松花江,located in the administrative territorial entity,河北
上海港,located in the administrative territorial entity,上海
深水港区,located in the administrative territorial entity,上海
自动化码头,located in the administrative territorial entity,上海
上城区,located in the administrative territorial entity,杭州
望江街道,located in the administrative territorial entity,上城区
在全国生态环境保护大会,participant,习近平总书记
"只有拿出好的作风、高的效能,才能跑好新时代的接力赛,闯出高质量跨越式发展的新路子",part of,党的二十大
杨凌,located in the administrative territorial entity,陕西省
胡梦雪文,notable work,国家区域医疗中心建设
江西锦锋诚电器有限公司,headquarters location,泰和县
文化和旅游部,country,中华民国
中华民国,executive body,文化和旅游部
文化和旅游部,applies to jurisdiction,中华民国
防汛救灾工作,facet of,防汛
中共中央办公厅,part of,中国共产党
中国共产党,subsidiary,中共中央办公厅
残疾人机动轮椅车,different from,残疾人机动轮椅车
胶州市,located in the administrative territorial entity,山东
长安三万里,voice actor,高适
长安三万里,voice actor,杜甫
长安三万里,voice actor,岑夫子
长安三万里,voice actor,丹丘生
长安三万里,narrative location,长安
西游记之大圣归来,voice actor,高适
西游记之大圣归来,voice actor,杜甫
西游记之大圣归来,voice actor,岑夫子
西游记之大圣归来,voice actor,丹丘生
西游记之大圣归来,narrative location,长安
哪吒之魔童降世,voice actor,高适
哪吒之魔童降世,voice actor,杜甫
哪吒之魔童降世,voice actor,岑夫子
哪吒之魔童降世,voice actor,丹丘生
哪吒之魔童降世,narrative location,长安
深海,voice actor,高适
深海,voice actor,杜甫
深海,voice actor,岑夫子
深海,voice actor,丹丘生
深海,narrative location,长安
第三次新疆综合科学考察,located in the administrative territorial entity,新疆
西昌卫星发射中心,space launch vehicle,长征系列运载火箭
长征三号乙运载火箭,subclass of,长征系列运载火箭
长征系列运载火箭,start point,西昌卫星发射中心
安义县,located in the administrative territorial entity,南昌市
南昌市图书馆,located in the administrative territorial entity,南昌市
中华民族,instance of,民族
明德弘道,movement,中华文明
