head,relation,tail
昌江核电基地,part of,南昌江核电基地
陈继兴,member of political party,中国共产党
中国光大集团股份公司,chairperson,唐双宁
唐双宁,employer,中国光大集团股份公司
徐文荣,employer,中国石油天然气集团有限公司
涉县,located in the administrative territorial entity,邯郸
C919大飞机,subclass of,歼—15舰载机
岑巩县,located in the administrative territorial entity,贵州省
新年开训,subclass of,军事训练
亚丁湾,country,索马里
索马里,located in or next to body of water,亚丁湾
人民海军,part of,中国海军
提升基层理论武装质效,author,李兴勇
李兴勇,notable work,提升基层理论武装质效
京杭大运河,country,匈牙利
哈马里特·若尔特,country of citizenship,匈牙利
陈晓劲,employer,人民日报媒体技术公司
蒲松龄,notable work,聊斋
聊斋,author,蒲松龄
马远,notable work,踏歌图
踏歌图,creator,马远
仇英,notable work,汉宫春晓图
汉宫春晓图,creator,仇英
绚,author,胡伟
中共中央政治局,chairperson,习近平同志
韦玉海,educated at,中国医学科学院
赤湾集装箱码头,located in the administrative territorial entity,深圳市
宜川县,located in the administrative territorial entity,延安市
穆罕默德·穆伊兹,member of political party,进步大会联盟
穆罕默德·穆伊兹,member of political party,进步党
穆罕默德·穆伊兹,member of political party,人民国家大会党
进步大会联盟,chairperson,穆罕默德·穆伊兹
进步党,chairperson,穆罕默德·穆伊兹
人民国家大会党,chairperson,穆罕默德·穆伊兹
呼和浩特海关,headquarters location,呼和浩特
二连浩特口岸,located in the administrative territorial entity,呼和浩特
国家外汇管理局,office held by head of the organization,国家外汇局相关负责人
国家外汇局相关负责人,part of,国家外汇管理局
乌兹别克斯坦奥林匹克城,country,乌兹别克斯坦
乌兹别克斯坦奥林匹克城,located in the administrative territorial entity,塔什干
第四届亚洲青年运动会,country,乌兹别克斯坦
第四届亚洲青年运动会,location,塔什干
第五届亚洲青年残疾人运动会,country,乌兹别克斯坦
第五届亚洲青年残疾人运动会,location,塔什干
阿德哈姆·伊克拉莫夫,country of citizenship,乌兹别克斯坦
东加里曼丹省,located in the administrative territorial entity,印度尼西亚
人民海军,item operated,055型导弹驱逐舰
人民海军,commanded by,习近平
习近平,military branch,人民海军
人民海军,item,055型导弹驱逐舰
阿蒙森海,continent,南极
儿童友好型城市,subclass of,城市
信州区,located in the administrative territorial entity,上饶市
西市街道,located in the administrative territorial entity,信州区
云冈石窟,located in the administrative territorial entity,山西
克孜尔石窟,located in the administrative territorial entity,山西
敦煌莫高窟,located in the administrative territorial entity,山西
中央宣传部,applies to jurisdiction,山西
文化和旅游部,applies to jurisdiction,山西
国家文物局,applies to jurisdiction,山西
郝王庄镇,located in the administrative territorial entity,武城县
住房租赁,subclass of,住房
住房租赁,subclass,住房
海南自由贸易港,subclass of,自由贸易港
湖北省市场监管局,located in the administrative territorial entity,武汉
地铁1号线,located in the administrative territorial entity,北京市
14号线,located in the administrative territorial entity,北京市
东湖新技术开发区,located in the administrative territorial entity,武汉市
武汉光谷中央生态大走廊,located in the administrative territorial entity,武汉市
天津纳米颗粒与纳米系统国际研究中心,part of,天津大学
马雷,educated at,天津大学
马雷,educat,天津大学
临汾市,located in the administrative territorial entity,山西
文星街道,located in the administrative territorial entity,湘阴县
天元区,located in the administrative territorial entity,株洲市
湖北,capital,荆楚
知识城,located in the administrative territorial entity,广州
TATA木门,owned by,北京<unk>门业有限公司
二〇二四年,point in time,二〇二
衢江区,located in the administrative territorial entity,衢州
黄坛口乡,located in the administrative territorial entity,衢江区
蓬莱区,located in the administrative territorial entity,烟台市
烟台科技学院,located in the administrative territorial entity,烟台市
战略性新兴产业,subclass of,新兴产业
