head,relation,tail
长津湖,cast member,习近平总书记
全国人大民委,office held by head of the organization,全国人大常委会副委员长
刘思洋,educated at,河北民族师范学院
杨靖宇,movement,爱国主义
戈壁滩,located in the administrative territorial entity,罗布泊
戈壁,located in the administrative territorial entity,新疆维吾尔自治区
刘伟松,educated at,空军工程大学航空机务士官学校
暴雨,subclass of,天气
沙特阿拉伯阿吉兰兄弟集团,founded by,穆罕默德·艾尔·阿吉兰
穆罕默德·艾尔·阿吉兰,employer,沙特阿拉伯阿吉兰兄弟集团
科普图画书,main subject,科普
崇州市,located in the administrative territorial entity,成都市
道明镇,located in the administrative territorial entity,崇州市
"习近平总书记心中,残疾人事业是“春天的事业”。",point in time,2019年5月16日
习近平总书记,significant event,"总书记心中,残疾人事业是“春天的事业”。"
"总书记心中,残疾人事业是“春天的事业”。",point in time,2019年5月16日
中国残联第七次全国代表大会,organizer,中国残疾人联合会
普坦,country of citizenship,泰国
高金洪,country of citizenship,泰国
平潭岛,located in the administrative territorial entity,福建省
宝岛台湾,located in the administrative territorial entity,福建省
闽台,located in the administrative territorial entity,福建省
承上启,point in time,2023年
承上启,point in time,2023
沙特阿拉伯,member of,联合国教科文组织
普洱景迈山古茶林文化景观,located in the administrative territorial entity,普洱市
澜沧拉<unk>族自治县,located in the administrative territorial entity,普洱市
南宁,country,印尼
印尼,capital,南宁
中欧班列,part of,共建“一带一路”
乌克兰,part of,亚太地区
朝鲜半岛,part of,亚太地区
塞凯拉,country of citizenship,安哥拉
尹力,position held,北京市委书记
习近平主席,spouse,洛伦索总统
洛伦索总统,spouse,习近平主席
盖伊,country of citizenship,法国
拉法兰,country of citizenship,法国
蓝天立,position held,广西壮族自治区主席
区域全面经济伙伴关系协定,signatory,中国贸促会
古巴,diplomatic relation,委内瑞拉
委内瑞拉,diplomatic relation,古巴
哈瓦利省,located in the administrative territorial entity,科威特
邯山区,located in the administrative territorial entity,邯郸市
河沙镇,located in the administrative territorial entity,邯山区
柯柯牙镇,located in the administrative territorial entity,温宿县
台山市,located in the administrative territorial entity,广东省
港珠澳大桥,located in the administrative territorial entity,广东省
天津市电子信息技师学院,located in the administrative territorial entity,天津
天津市电子信息技师学院,located in the administrative territorial,天津
乡村教师,instance of,网络文艺
声生不息,instance of,网络文艺
教育救国,subclass of,教育
教育报国,subclass of,教育
科教兴国,subclass of,教育
瘦西湖,located in the administrative territorial entity,扬州
党的十八大,political ideology,创新
甲骨文,location of discovery,殷墟
殷墟,located in the administrative territorial entity,安阳
甘洛县,located in the administrative territorial entity,凉山彝族自治州
团结乡,located in the administrative territorial entity,甘洛县
丹寨,located in the administrative territorial entity,贵州
青年科技人才,subclass of,人才
英国,part of,西欧
中国共产党,political ideology,社会主义
中国共产党,founded by,中国共产党人
中国共产党人,part of,中国共产党
2023年国家网络安全宣传周,point in time,2023年
2023年网络安全宣传周,point in time,2023年
慕羽,educated at,北京舞蹈学院
月牙湖乡,located in the administrative territorial entity,兴庆区
刘姿廷,place of birth,天津市
污水管网,part of,污水处理设施
联合国教科文组织,headquarters location,利雅得
第四十五届世界遗产大会,organizer,联合国教科文组织
普洱景迈山古茶林文化景观,heritage designation,世界文化遗产
普洱茶,part of,普洱景迈山古茶林文化景观
普洱茶,part of,普洱茶
普洱景迈山古茶林文化景观,part of,普洱景迈山古茶林文化景观
国家安全学,studies,国家安全
习近平同志,member of,中共中央办公厅
习近平同志,member of,国务院办公厅
国家安全法,main regulatory text,宪法
习近平新时代中国特色社会主义思想,main subject,国家安全学
习近平新时代中国特色社会主义思想,main,国家安全学
龙王镇,located in the administrative territorial entity,宁陕县
香港,diplomatic relation,内地
内地,diplomatic relation,香港
刘太宗,employer,最高人民检察院
天津市,shares border with,山西省
山西省,shares border with,天津市
天津,shares border with,山西省
山西,shares border with,天津市
首钢园,located in the administrative territorial entity,北京市
景泰小学,located in the administrative territorial entity,北京市
中国节气,original broadcaster,河南卫视
立夏,original broadcaster,河南卫视
孟浩然,notable work,裴司士员司户见寻
裴司士员司户见寻,author,孟浩然
北部湾港,located in the administrative territorial entity,广西壮族自治区
山东,capital,青岛
中国科学院海洋研究所,located in the administrative territorial entity,青岛
盲鼬<unk>,location of discovery,中国科学院海洋研究所
钱塘江涌潮,instance of,涌潮
杭州湾,located in the administrative territorial entity,杭州
钱塘江,located in the administrative territorial entity,杭州
浦发银行贵阳分行,headquarters location,贵阳
深港,located in the administrative territorial entity,广东
中区,located in the administrative territorial entity,深圳
尉犁县,located in the administrative territorial entity,巴音郭楞蒙古自治州
黄孝河,located in the administrative territorial entity,湖北省
杭州奥体中心体育场,located in or next to body of water,钱塘江
尤金,country,美国
东京奥运会,participant,雅各布斯
谢震业,country of citizenship,中国
杭州亚运会主媒体中心,located in the administrative territorial entity,杭州
吉林,part of,长三角
长三角,located in the administrative territorial entity,吉林
亚运青年V站,located in the administrative territorial entity,杭州市
2023上海赛艇公开赛,point in time,2023
北仑体艺中心,located in the administrative territorial entity,宁波
塞尔维亚队,number of participants,24
多米尼加队,number of participants,24
荷兰队,number of participants,24
加拿大队,number of participants,24
捷克队,number of participants,24
墨西哥队,number of participants,24
乌克兰队,number of participants,24
卡塔尔U23亚洲杯,start time,2024年4月15日
竹原市,country,日本
竹原市,located in the administrative territorial entity,广岛县
大久野岛,country,日本
大久野岛,located in the administrative territorial entity,广岛县
大久野岛,located,广岛县
皮诺切特,country of citizenship,智利
吉尔吉斯斯坦,capital,比什凯克
比什凯克,country,吉尔吉斯斯坦
崔丽,position held,上海合作组织睦邻友好合作委员会副主席
杜德文,position held,上海合作组织睦邻友好合作委员会副主席
詹加济耶夫,position held,上海合作组织睦邻友好合作委员会副主席
中国石化,headquarters location,北京
中国石油,headquarters location,北京
iPhone12,manufacturer,苹果公司
富锦市,located in the administrative territorial entity,黑龙江省
卫国乡,located in the administrative territorial entity,五常市
中共中央政治局常委,subsidiary,中央书记处
中央书记处,subsidiary,中共中央政治局常委
蔡奇,position held,中央书记处书记
古巴共产党,chairperson,迪亚斯—卡内尔
经开区,located in the administrative territorial entity,武汉
北外滩国际航运论坛新闻发布会,participant,韩鑫
北外滩国际航运论坛新闻发布会,participant,韩
景海鹏,astronaut mission,神舟十三号
景海鹏,astronaut mission,神舟十四号
朱杨柱,astronaut mission,神舟十三号
朱杨柱,astronaut mission,神舟十四号
桂海潮,astronaut mission,神舟十六号
桂海潮,astronaut mission,神舟十三号
桂海潮,astronaut mission,神舟十四号
梦天实验舱,part of,神舟十六号
梦天实验舱,crew member(s),景海鹏
梦天实验舱,crew member(s),朱杨柱
梦天实验舱,crew member(s),桂海潮
梦天实验舱,part of,梦天实验舱
梦天实验舱,part of,神舟十三号
梦天实验舱,part of,神舟十四号
三江源,located in the administrative territorial entity,青海省
澜沧江,mouth of the watercourse,长江
斯里兰卡,diplomatic relation,肯尼亚
班达拉奈克国际机场,country,斯里兰卡
肯尼亚,diplomatic relation,斯里兰卡
蒙巴萨,country,肯尼亚
瓦莱塔,country,马耳他
马耳他,head of state,维拉
马耳他,head of state,习近平主席
维拉,country of citizenship,马耳他
习近平主席,country of citizenship,马耳他
尧罗娃,position held,欧盟委员会副主席
刘思扬,member of,中华全国新闻工作者协会
青白江区,located in the administrative territorial entity,成都市
徐伟,country of citizenship,中国
中国,executive body,中国政府
中国政府,country,中国
利比亚,diplomatic relation,中国
国家机关事务管理局,instance of,国家机关
奥利弗·沃内卡,country of citizenship,乌干达
九一八历史博物馆,located in the administrative territorial entity,沈阳市
乌兹别克斯坦,continent,欧亚
花剌子模州,located in the administrative territorial entity,乌兹别克斯坦
希瓦古城,country,乌兹别克斯坦
丝路,country,乌兹别克斯坦
过期药品,subclass of,药品
自由行,subclass of,旅游
荒漠,subclass of,生态环境
首钢滑雪大跳台,located in the administrative territorial entity,北京
北京冬奥会,location,北京
自由式滑雪,part of,北京冬奥会
单板滑雪大跳台,part of,北京冬奥会
根烟囱,located in the administrative territorial entity,北京
横琴岛,located in the administrative territorial entity,珠海
横琴,located in the administrative territorial entity,珠海
帕米尔高原,country,巴基斯坦
蒋文杰,employer,红其拉甫海关
蒋文杰,employer,红其拉
社会主义现代化,subclass of,发展
社会主义现代化,sub,发展
重庆医科大学附属第二医院,location,人民大会堂
六枝特大桥,located in the administrative territorial entity,贵州
<unk>江特大桥,located in the administrative territorial entity,贵州
光明科学城,located in the administrative territorial entity,光明区
光明区,located in the administrative territorial entity,深圳市
习近平新时代中国特色社会主义思想,country of origin,中国
新时代新征程,country,中国
科学技术部,part of,国家统计局
张启龙,employer,国家统计局
欧盟,member of,经济合作与发展组织
国家粮食和物资储备局,subsidiary,国家粮食和物资储备局调度
财政部门,located in the administrative territorial entity,拉萨
财政部门,applies to jurisdiction,西藏自治区
财政部门,applies to jurisdi,西藏自治区
梁山县,located in the administrative territorial entity,济宁
孝感市,located in the administrative territorial entity,湖北省
东西湖区,located in the administrative territorial entity,武汉市
孝昌县,located in the administrative territorial entity,孝感市
邹岗镇,located in the administrative territorial entity,孝昌县
绝对考验,instance of,舞剧
凤凰出版传媒集团有限公司,founded by,章朝阳
凤凰集团,founded by,章朝阳
安吉县,located in the administrative territorial entity,宁德市
红岩精神,notable work,绝对考验
绝对考验,author,红岩精神
热血当歌,author,红岩精神
红楼梦,author,红岩精神
中国绿发投资集团有限公司,owned by,中国绿发
中国绿发,owned by,中国绿发投资集团有限公司
中国科学院,subsidiary,中国科学院研究所
南充,located in the administrative territorial entity,四川省
亚里耶·瓦谢尔,award received,诺贝尔奖
孙茂松,educated at,清华大学
石勇,employer,中国科学院虚拟经济与数据科学研究中心
路北区,located in the administrative territorial entity,唐山市
京津冀养老服务协同发展项目推介会,point in time,9月18日
北小营镇,located in the administrative territorial entity,顺义区
良渚古城遗址公园,located in the administrative territorial entity,杭州
大莫角山,located in the administrative territorial entity,杭州
良渚文化,located in the administrative territorial entity,杭州
2023年全民健身线上运动会,sport,全民健身
2023中国网球公开赛,point in time,2023
2023中国网球公开赛,location,国家网球中心
2023中国网球公开赛,participant,阿尔卡拉斯
2023中国网球公开赛,participant,斯瓦泰克
2023中国网球公开赛,participant,郑钦文
2023中国网球公开赛,participant,商竣程
2023中国网球公开赛,participant,鲁内
2023中国网球公开赛,participant,辛纳
2023中国网球公开赛,participant,梅德韦杰夫
2023中国网球公开赛,participant,鲁德
2023中国网球公开赛,participant,弗里茨
阿尔卡拉斯,country of citizenship,西班牙
斯瓦泰克,country of citizenship,波兰
郑钦文,country of citizenship,波兰
商竣程,country of citizenship,波兰
鲁内,country of citizenship,丹麦
辛纳,country of citizenship,意大利
梅德韦杰夫,country of citizenship,俄罗斯
杭州亚运会开幕式,location,杭州
广汽传祺,owned by,广汽集团
2023年全球秦商大会,instance of,全球秦商大会
沃尔沃印尼公司,country,印度尼西亚
约翰尼斯,country of citizenship,印度尼西亚
夏威夷,located in the administrative territorial entity,美国
毛伊岛,located in the administrative territorial entity,美国
毛伊岛,located on terrain feature,夏威夷
希腊,part of,北美
西班牙,part of,北美
土耳其,part of,北美
森林野火,subclass of,森林火灾
森林野火,subclass of,野火
戈布兰挂毯制造厂,country,法国
戈布兰挂毯制造厂,headquarters location,巴黎
阿联酋,office held by head of government,迪拜酋长
迪拜酋长,country,阿联酋
穆罕默德,country of citizenship,阿联酋
穆罕默德,position held,迪拜酋长
萨尼,country of citizenship,阿联酋
人口统计,country,日本
日本国立社会保障和人口问题研究所,country,日本
雄安新区,founded by,习近平总书记
新疆维吾尔自治区党委,part of,中国共产党
信丰县,located in the administrative territorial entity,赣州市
安西镇,located in the administrative territorial entity,信丰县
张甸镇,located in the administrative territorial entity,姜堰区
碳纤维,made from material,半导体
碳纤维,made from,半导体
钱玄同,child,钱三强
奔腾不息的黄河,author,全国政协文化文史和学习委员会
中华文化,subclass of,文化
习近平关于尊重和保障人权论述摘编,language of work or name,阿拉伯文
习近平关于尊重和保障人权论述摘编,language of work or name,葡萄牙文
习近平关于尊重和保障人权论述摘编,language of work or name,德文
习近平关于尊重和保障人权论述摘编,language of work or name,斯瓦希里文
习近平关于尊重和保障人权论述摘编,language of work or name,乌尔都文
习近平关于尊重和保障人权论述摘编,language of work or name,越南文
阿拉山口,continent,欧洲
霍尔果斯,continent,欧洲
二连浩特,continent,欧洲
满洲里,continent,欧洲
绥芬河,continent,欧洲
浙江省,head of government,习近平同志
浙江,head of government,习近平同志
岗集镇,located in the administrative territorial entity,长丰
月河镇,located in the administrative territorial entity,桐柏县
北浚县,located in the administrative territorial entity,淇县
杰弗里·格林,member of,飞虎队
邕江,located in the administrative territorial entity,南宁
马来西亚国家馆,located in the administrative territorial entity,南宁
哈瓦那宣言,country,古巴
中俄关系,participant,王毅
中俄关系,location,莫斯科
中俄关系,participant,帕特鲁舍夫
中俄战略安全磋商机制,participant,王毅
中俄战略安全磋商机制,location,莫斯科
中俄战略安全磋商机制,participant,帕特鲁舍夫
张爱宁,educated at,外交学院
罗伯逊·本,country of citizenship,圭亚那
格罗多夫,position held,俄罗斯联邦副总检察长
尼亚兹别科夫,country of citizenship,吉尔吉斯斯坦
拉希姆佐达,country of citizenship,塔吉克斯坦
青山区,located in the administrative territorial entity,武汉
新沟桥街道,located in the administrative territorial entity,青山区
