head,relation,tail
柬埔寨,capital,暹粒市
暹粒市,country,柬埔寨
班蒂斯蕾县,country,柬埔寨
班蒂斯蕾县,located in the administrative territorial entity,暹粒市
内蒙古伊泰集团,inception,1988年3月
伊泰集团,inception,1988年3月
望城区,located in the administrative territorial entity,长沙
西双版纳傣族自治州,located in the administrative territorial entity,云南
磨憨铁路口岸,located in the administrative territorial entity,西双版纳傣族自治州
北京市消协,applies to jurisdiction,北京市
自动扶梯,subclass of,公共交通设施
电梯,subclass of,公共交通设施
额济纳旗,located in the administrative territorial entity,内蒙古
阜康市,located in the administrative territorial entity,新疆
“海洋石油301”,instance of,液化天然气
绿色低碳先进技术示范工程,creator,国家发展改革委
水东镇,located in the administrative territorial entity,电白区
水东街道,located in the administrative territorial entity,电白区
周利利,educated at,浙江农林大学
贺兰山,located in or next to body of water,银川
杭州亚运会,item operated,钉钉
凉山州,located in the administrative territorial entity,四川
金阳县,located in the administrative territorial entity,凉山州
渤海之滨,located in the administrative territorial entity,河北
曲靖市,located in the administrative territorial entity,云南
教育部,subsidiary,中共中央办公厅
教育部,subsidiary,国务院办公厅
国家发展改革委,subsidiary,中共中央办公厅
国家发展改革委,subsidiary,国务院办公厅
金阳县,located in the administrative territorial entity,凉山彝族自治州
芦稿林河,located in the administrative territorial entity,四川省
凉山州,located in the administrative territorial entity,四川省
农业农村部,field of work,粮食安全
全国高标准农田建设规划(2021—2030年),is a list of,粮食安全
琅勃拉邦,country,老挝
烈日炎炎,country,老挝
川<unk>省,located in the administrative territorial entity,老挝
泰国,head of state,习近平主席
习近平主席,country of citizenship,泰国
华为,country,泰国
循环经济,subclass of,生物经济
欧舒米,position held,阿拉伯议会议长
埃及,member of,金砖机制
沙特,member of,金砖机制
阿联酋,member of,金砖机制
金砖机制,participant,沙特
金砖机制,participant,阿联酋
南非国家行政学院,chairperson,布萨尼·恩格卡维尼
布萨尼·恩格卡维尼,member of,南非国家行政学院
新开发银行,subsidiary,南非国家行政学院
英国,head of government,克莱弗利
克莱弗利,country of citizenship,英国
乌克兰危机,country,英国
朝鲜半岛核问题,country,英国
匈牙利国家外文图书馆,country,匈牙利
匈牙利国家外文图书馆,located in the administrative territorial entity,布达佩斯
匈牙利塞切尼国家图书馆,country,匈牙利
匈牙利塞切尼国家图书馆,located in the administrative territorial entity,布达佩斯
盖伦切尔·尤迪特,country of citizenship,匈牙利
苏伊士运河大学,country,埃及
苏伊士运河大学孔子学院,country,埃及
哈桑·拉杰卜,country of citizenship,埃及
哈桑·拉杰卜,educated at,苏伊士运河大学
哈桑·拉杰卜,educated at,苏伊士运河大学孔子学院
厦门会晤,participant,哈桑·拉杰卜
任洪岩,position held,中国常驻联合国代表团
庞丽娟,position held,全国人大常委会委员
人才观,facet of,人才
徐守本,position held,国务院副秘书长
王光彦,position held,国务院副秘书长
王嘉毅,position held,国务院副秘书长
陈杰,position held,国务院副秘书长
卫东,position held,国务院副秘书长
王绍忠,position held,国务院副秘书长
高嵌,position held,国务院副秘书长
史英立,position held,国务院副秘书长
杨荫凯,position held,国务院副秘书长
杨万明,position held,国务院副秘书长
潘爱华,position held,国务院副秘书长
陆国强,position held,国务院副秘书长
平阳县,located in the administrative territorial entity,温州
最高人民法院,field of work,法律
最高人民法院,field,法律
中国,executive body,国务院
国务院,applies to jurisdiction,中国
北山街道,located in the administrative territorial entity,西湖区
曹文轩,employer,水利部
龙骨坡遗址,located in the administrative territorial entity,巫山
聪明的车、可靠的能、智慧的路、实时的云,subclass of,新能源汽车
杨其长,educated at,中国农科院
中国水利水电第四工程局有限公司,item operated,白鹤滩水电站1号机组转子吊装
白鹤滩水电站1号机组转子吊装,owned by,中国水利水电第四工程局有限公司
济青(济南—青岛)高速,owned by,山东高速集团
青岛高速公路,owned by,山东高速集团
关帝庙,located in the administrative territorial entity,运城
广汽乘用车有限公司,headquarters location,广东
郑州,instance of,省(区、市)
榆林镇,located in the administrative territorial entity,呼和浩特市
崔茂虎,member of,中央纪委国家监委
姜志刚,member of,宁夏回族自治区党委
利用影响力受贿犯罪,subclass of,严重职务违法
咸阳,located in the administrative territorial entity,陕西省
渭南,located in the administrative territorial entity,陕西省
岭南清香爽皮鸡,subclass of,粤式脆皮咕噜肉香气
中国国家铁路集团有限公司,item operated,贵南(贵阳至南宁)高铁
中国国家铁路集团有限公司,item operated,八纵八横”高速铁路网
贵南(贵阳至南宁)高铁,owned by,中国国家铁路集团有限公司
八纵八横”高速铁路网,owned by,中国国家铁路集团有限公司
国家电网,instance of,央企
航空工业集团,instance of,央企
中国华电,instance of,央企
中国电建,instance of,央企
中国宝武,instance of,央企
保利集团,instance of,央企
中国中铁,instance of,央企
中国石化,instance of,央企
中国大唐,instance of,央企
国家金融监督管理总局,subsidiary,偿付能力监管委员会
涿州市,located in the administrative territorial entity,保定
浙江图书馆之江馆,located in the administrative territorial entity,杭州
浙江省博物馆之江馆,located in the administrative territorial entity,杭州
