head,relation,tail
中国人民银行,office held by head of the organization,中国人民银行相关负责人
中国人民银行相关负责人,part of,中国人民银行
中国人寿,headquarters location,北京
中国人寿保险(集团)公司,headquarters location,北京
香洲区,located in the administrative territorial entity,珠海市
贵州茅台,owned,茅台
谷雨生物科技有限公司,headquarters location,广州
谷雨,headquarters location,广州
新兴产业,part of,新兴领域战略能力
雾霾,subclass of,霾
陈群,position held,全国政协主席
皇姑区,located in the administrative territorial entity,沈阳
移动支付,subclass of,支付
第十四届全国人大宪法和法律委员会,instance of,宪法和法律委员会
十四届全国人大二次会议,participant,王毅
中央广播电视总台,subsidiary,央视
央视,owned by,中央广播电视总台
王毅,position held,全国妇联主席
铁凝,position held,全国妇联主席
苏辉,position held,全国妇联主席
咸辉,position held,全国妇联主席
孙春兰,position held,全国妇联主席
彭珮云,position held,全国妇联主席
顾秀莲,position held,全国妇联主席
陈至立,position held,全国妇联主席
王志珍,position held,全国妇联主席
李斌,position held,全国妇联主席
总书记,member of,全国政协
红寺堡镇,located in the administrative territorial entity,红寺堡区
全国两会期待调查,facet of,政府工作报告
武汉理工大学,chairperson,习近平同志
政府工作报告,author,陈圆圆
政府工作报告,instance of,政府工作报告
陈军代表,educated at,南开大学
全国两会,political ideology,人民民主
科学城,located in the administrative territorial entity,重庆市
第二师范学院,located in the administrative territorial entity,北京
师范院校,field of work,高等教育
宁夏回族自治区人大常委会,applies to jurisdiction,宁夏回族自治区
宁夏回族自治区,legislative body,宁夏回族自治区人大常委会
陈卫代表,member of,中国工程院
陈卫代表,employer,江南大学
孙永才,employer,中国中车
粤港澳大湾区建设,part of,高质量发展
斗玉珞巴民族乡,located in the administrative territorial entity,隆子县
韩民春,educated at,华中科技大学
安胜镇,located in the administrative territorial entity,梁平区
竹山镇,located in the administrative territorial entity,梁平区
马军胜,position held,全国政协常委
梅亦,position held,全国政协常委
叮当健康,instance of,企业
蔡荣根委员,educated at,宁波大学
王晖,position held,全国人大代表
全国两会,organizer,国家
密云水库,located in the administrative territorial entity,张家口市
东洋河,located in the administrative territorial entity,河北省
洋河,located in the administrative territorial entity,河北省
白河,located in the administrative territorial entity,河北省
邮储银行,owned by,中国邮政储蓄银行
黑龙江飞鹤乳业有限公司,headquarters location,黑龙江
黄会林,educated at,北京师范大学
2024年2月,point in time,2024年2月
柳东新区,located in the administrative territorial entity,柳州市
禾山街道,located in the administrative territorial entity,湖里区
国家卫生健康委,subsidiary,国家疾控局
肝炎,afflicts,肝脏
