head,relation,tail
爱国主义,subclass of,社会主义教育
社会主义教育,subclass of,爱国主义
西永微电园,located in the administrative territorial entity,科学城
西永微电园,located in,科学城
张宇蕾,position held,中关村管委会副主任
燕秦,located in the administrative territorial entity,内蒙古
北齐徐显秀墓,heritage designation,全国重点文物保护单位
马村港区,located in the administrative territorial entity,澄迈县
澄迈马村港,located in the administrative territorial entity,澄迈县
听花酒,manufacturer,青海春天药用资源科技股份有限公司
丰台区,located in the administrative territorial enti,北京市
彭质斌,employer,中国疾控中心传染病管理处
中银集团,subsidiary,中银富登村镇银行
中银集团,subsidiary,中银富登
中银富登,owned by,中银集团
中银富登,owned,中银集团
瑞峰镇,located in the administrative territorial entity,青神县
许昌,located in the administrative territorial entity,河南省
长丰县,located in the administrative territorial entity,安徽省
开罗,head of state,习近平主席
阿巴斯,place of birth,开罗
南沙群岛,territory claimed by,菲律宾
仁爱礁,territory claimed by,菲律宾
仁爱礁,part of,南沙群
马来西亚汉文化中文学习测试中心,located in the administrative territorial entity,吉隆坡
马来西亚汉文化中文学习测试中心,country,马来西亚
马来西亚汉文化中心,located in the administrative territorial entity,吉隆坡
马来西亚汉文化中心,country,马来西亚
广西,different from,广西壮族自治区
中共中央办公厅,country,中华人民共和国
2024年元旦春节期间有关工作的通知,country,中华人民共和国
中央经济工作会议,participant,习近平总书记
赛塔,country of citizenship,泰国
沈春耀,position held,全国人大宪法和法律委员会副主任委员
袁曙宏,position held,全国人大宪法和法律委员会副主任委员
临夏回族自治州,located in the administrative territorial entity,甘肃省
积石山保安族东乡族撒拉族自治县,located in the administrative territorial entity,临夏回族自治州
海东市民和回族土族自治县,located in the administrative territorial entity,临夏回族自治州
化隆回族自治县,located in the administrative territorial entity,临夏回族自治州
循化撒拉族自治县,located in the administrative territorial entity,临夏回族自治州
台江区,located in the administrative territorial entity,福州
苍霞街道,located in the administrative territorial entity,台江区
第五次全国经济普查,start time,2022年11月17日
曹妃甸港,located in the administrative territorial entity,河北
柬埔寨王国,diplomatic relation,中华人民共和国
柬埔寨王国,diplomatic relation,老挝人民民主共和国
柬埔寨王国,diplomatic relation,缅甸联邦共和国
柬埔寨王国,diplomatic relation,泰王国
柬埔寨王国,diplomatic relation,越南社会主义共和国
中华人民共和国,diplomatic relation,柬埔寨王国
中华人民共和国,diplomatic relation,老挝人民民主共和国
中华人民共和国,diplomatic relation,缅甸联邦共和国
中华人民共和国,diplomatic relation,泰王国
中华人民共和国,diplomatic relation,越南社会主义共和国
老挝人民民主共和国,diplomatic relation,柬埔寨王国
老挝人民民主共和国,diplomatic relation,中华人民共和国
老挝人民民主共和国,diplomatic relation,缅甸联邦共和国
老挝人民民主共和国,diplomatic relation,泰王国
老挝人民民主共和国,diplomatic relation,越南社会主义共和国
老挝人民民主共和国,member of,东盟
缅甸联邦共和国,diplomatic relation,柬埔寨王国
缅甸联邦共和国,diplomatic relation,中华人民共和国
缅甸联邦共和国,diplomatic relation,老挝人民民主共和国
缅甸联邦共和国,diplomatic relation,泰王国
缅甸联邦共和国,diplomatic relation,越南社会主义共和国
六国国家秘书处,part of,澜湄合作
澜湄合作国际秘书处,part of,澜湄合作
澜湄国家命运共同体,located on terrain feature,澜湄地区
澜湄地区,part of,澜湄国家命运共同体
阿联酋共识,country,阿联酋
中华人民共和国国务院,instance of,国务院
延庆区,located in the administrative territorial entity,北京
周光权,position held,全国人大宪法和法律委员会副主任委员
刑法修正案(十二)草案,author,周光权
全国人大常委会法工委,country,中华人民共和国
武增作,country of citizenship,中华人民共和国
社会主义现代化国家,country,中华人民共和国
井冈山,located in the administrative territorial entity,吉安市
尹弘,member of political party,中国共产党
张勇,member of,全国人大常委会法工委
矿产资源法,instance of,法律
中国邮政,item operated,中国邮政微邮局集邮微信商城
崇州市,located in the administrative territorial entity,四川
东北振兴战略,creator,习近平总书记
东北振兴,creator,习近平总书记
国家现代农业产业园,located in the administrative territorial entity,嘉祥县
明春,follows,冬
元旦,follows,明春
春节,follows,明春
津兴城际铁路,located in the administrative territorial entity,连通
遇水架桥,carries,津兴城际铁路
中国农业银行,applies to jurisdiction,山西省
山西省,central bank,中国农业银行
海东市民和回族土族自治县,located in the administrative territorial entity,青海省
中川乡,located in the administrative territorial entity,海东市民和回族土族自治县
草滩村,located in the administrative territorial entity,海东市民和回族土族自治县
浦口高新区,located in the administrative territorial entity,南京
朱雀二号遥二运载火箭,part of,中国空间站
九章三号,part of,中国空间站
神舟十六号载人飞船,part of,中国空间站
共建“一带一路”倡议提出以来,facet of,共建“一带一路”倡议
顺德,located in the administrative territorial entity,广东
科龙公司,headquarters location,广东
平泉市,located in the administrative territorial entity,河北省
越南国家旅游局,country,越南
越南,located on terrain feature,中南半岛
中南半岛,country,越南
阮文雄,country of citizenship,越南
姚文,position held,中国驻孟加拉国大使
中孟关系,country,孟加拉国
中国铁路国际有限公司,item operated,雅万高铁
哈利姆车站,country,印度尼西亚
哈利姆车站,located in the administrative territorial entity,雅加达
绵阳科技城新区,instance of,新区
杭州第四届亚洲残疾人运动会,participant,习近平
中国飞鹤有限公司,founded by,冷友斌
