head,relation,tail
下半年经济,part of,国民经济
前门大街,located in the administrative territorial entity,北京市
公共图书馆,subclass of,图书馆
一刻钟便民生活圈,subclass of,便民生活圈
上海自贸试验区,instance of,自贸试验区
上海自贸试验区,instance of,自贸
田俊岭,member of political party,中国共产党
田俊岭,member of political,中国共产党
孙德建,occupation,拥军
咸丰县,located in the administrative territorial entity,恩施土家族苗族自治州
坪坝营镇,located in the administrative territorial entity,咸丰县
夏县,located in the administrative territorial entity,运城市
泗交镇,located in the administrative territorial entity,夏县
中国人民解放军,commanded by,习近平
林荫街道,located in the administrative territorial entity,东胜区
冷湖镇,located in the administrative territorial entity,茫崖市
茫崖市,located in the administrative territorial entity,海西蒙古族藏族自治州
农业农村部,subsidiary,国家乡村振兴局
国家乡村振兴局,part of,农业农村部
国家网信办,located in the administrative territorial entity,北京
威海高新区,located in the administrative territorial entity,济南
共建“一带一路”倡议,media franchise,丝路
杜伊斯堡,country,德国
马克思,field of work,哲学
恩格斯,field of work,哲学
十八大,participant,习近平总书记
重庆长江隧道,crosses,长江
胜芳站,connecting line,津兴铁路
京津,located in or next to body of water,长江
京津,located in or next to body of water,山海
武胜火车站,located in the administrative territorial entity,广安
武胜火车站,located in the,广安
阿里地区,located in the administrative territorial entity,西藏自治区
平山区,located in the administrative territorial entity,本溪市
周德平,educated at,沈阳大学
莆田市,located in the administrative territorial entity,福建省
城厢区,located in the administrative territorial entity,莆田市
霞林街道,located in the administrative territorial entity,城厢区
莆田,located in the administrative territorial entity,福建省
南昌起义,location,南昌
桂城街道,located in the administrative territorial entity,南海区
行政村,subclass of,农村
科技馆新馆,located in the administrative territorial entity,合肥市
邓正宾,educated at,中国科学技术大学
地壳,part of,地球
地幔,part of,地球
地核,part of,地球
地球化学,studies,地球
地球物理,studies,地球
绥德县,located in the administrative territorial entity,榆林市
教育部校外教育培训监管司,part of,教育部
普通高等学校,subclass of,高等学校
玉树州,located in the administrative territorial entity,青海省
玉树市,located in the administrative territorial entity,玉树藏族自治州
国际大体联,founded by,维丽娜·伯克
维丽娜·伯克,member of,国际大体联
成都大运会,location,大运赛场
成都大运会,location,大运会赛场
何卓佳,sport,乒乓球
钱天一,sport,乒乓球
王晓彤,sport,乒乓球
周恺,sport,乒乓球
徐瑛彬,sport,乒乓球
薛飞,sport,乒乓球
宋佳媛,sport,乒乓球
成都大运会,located in the administrative territorial entity,成都
福建省,located in the administrative territorial entity,中华人民共和国
海安街道,located in the administrative territorial entity,海安市
卫健委,located in the administrative territorial entity,合肥
顾天成,field of work,疫苗接种
全国医疗保障跨省异地就医直接结算公共服务信息,publisher,国家医保局
泰国,member of,联合国教科文组织
泰国文化中心,country,泰国
泰国文化中心,located in the administrative territorial entity,曼谷
泰国国宝级舞剧艺术,country,泰国
人类非物质文化遗产代表作,conferred by,联合国教科文组织
日本,part of,亚洲邻国
日本,located in or next to body of water,东海
日本,located in or next to body of water,南海
东海,basin country,日本
南海,country,日本
约旦农业部,country,约旦
哈立德·胡内法特,country of citizenship,约旦
孙晓波,position held,外交部军控司司长
塞西,country of citizenship,埃及
新阿拉曼,country,埃及
新阿拉曼,located in or next to body of water,地中海
巴勒斯坦民族解放运动,country,埃及
