head,relation,tail
唐登杰,position held,山西省人大常委会主任
韩俊,position held,安徽省人大常委会主任
中国共产党,political ideology,统一战线
宁夏银川富洋烧烤店“6·21”特别重大燃气爆炸事故,point in time,2023年6月21日
国务院事故调查组,applies to jurisdiction,宁夏
兴庆区,located in the administrative territorial entity,银川
中法建交60周年招待会,participant,习近平主席
习近平主席,significant event,中法建交60周年招待会
豫园灯会,heritage designation,国家级非物质文化遗产
旧金山会晤,participant,王毅
旧金山会晤,participant,沙利文
中美关系,participant,王毅
中美关系,participant,沙利文
邵瓦帕职业学院,country,泰国
素达坎,country of citizenship,泰国
新年,part of,农历
法国邮政集团,headquarters location,巴黎
阿希姆巴耶夫,position held,全国人大常委会副委员长
科沙诺夫,position held,全国人大常委会副委员长
斯克利亚尔,position held,全国人大常委会副委员长
奥腾什耶夫,position held,全国人大常委会副委员长
王尊博,educated at,浙江大学
厦门老年大学,located in the administrative territorial entity,福建
国家老年大学,located in the administrative territorial entity,福建
天津大学法学院,part of,天津大学
2023年,point in time,2024年1月
2023年,follows,2023年
滋贺县,located in the administrative territorial entity,日本
琵琶湖,country,日本
三井寺,country,日本
三井寺,located in the administrative territorial entity,滋贺县
世界记忆名录,maintained by,联合国教科文组织
开元寺,country,日本
天台山国,country,日本
清寺,country,日本
长安,country,日本
青龙寺,country,日本
爱达荷州,located in the administrative territorial entity,美国
加州大学,country,美国
哥伦比亚大学,country,美国
终南山,country,美国
武夷山,country,美国
多瑙河,country,匈牙利
布达佩斯,located in or next to body of water,多瑙河
匈牙利,located in or next to body of water,多瑙河
裴多菲,country of citizenship,匈牙利
裴多菲,occupation,作家
裴多菲,occupation,诗人
九曲黄河,named after,黄河
九曲黄河,na,黄河
刘套镇,located in the administrative territorial entity,萧县
国立敦煌艺术研究所,located in the administrative territorial entity,敦煌
高质量发展,has,习近平新时代中国特色社会主义思想
滨江新区,located in the administrative territorial entity,靖江市
水利,use,农业
沈晓明,position held,湖南省人大常委会主任
河源市,located in the administrative territorial entity,广东
龙川县,located in the administrative territorial entity,河源市
鹤市镇,located in the administrative territorial entity,龙川县
全国查处违反中央八项规定精神问题,point in time,2023年12月
全国查处违反中央八项规定精神问题,point in,2023年12月
中法建交60周年招待会,country,法国
法国,head of state,习近平主席
法国,diplomatic relation,欧盟
欧盟,diplomatic relation,法国
波尔多葡萄酒,country,法国
夏洛莱牛肉,country of origin,法国
蓓妮妈妈果酱,country of origin,法国
总统牌奶酪,country of origin,法国
小熊电饭煲,country of origin,法国
海尔冰箱,country of origin,法国
海信电视,country of origin,法国
极米投影仪,country of origin,法国
四期国家人权行动计划,country,瑞士
六循寿辰,country of citizenship,泰国
玛丽亚·埃莱娜·阿圭罗,member of,世界领袖联盟—马德里俱乐部
陈旭,country of citizenship,中华人民共和国
魏金山,date of death,2023年12月8日
魏金山,member of political party,中国共产党
魏金山,military rank,海军中将
朱作霖,date of birth,1932年11月
朱作霖,member of political party,中国共产党
朱作霖,employer,中国人民大学
钱海皓,date of death,2023年12月31日
钱海皓,member of political party,中国共产党
张人为,member of political party,中国共产党
李岩,date of birth,1929年11月
李岩,member of political party,中国共产党
中国共产党纪律处分条例,author,习近平总书记
习近平总书记,notable work,中国共产党纪律处分条例
2023年外贸成绩单,point in time,2023年
振兴,head of government,徐雷鹏文
南京号,instance of,科普卫星
天舟七号,instance of,科普卫星
积石山县,located in the administrative territorial entity,兰州市
榆中县,located in the administrative territorial entity,兰州
园子岔乡,located in the administrative territorial entity,榆中县
玉家河镇,located in the administrative territorial entity,清涧县
人民网,instance of,网站
禾赛科技,founded by,李一帆
禾赛科技,founded,李一帆
哈尔滨,instance of,城市
严查住宅楼顶私搭乱建,subclass of,住宅楼顶违建
白鸭绒,subclass of,羽绒
毛泽东同志,movement,马克思主义基本原理
共产党,political ideology,马克思主义
马克思主义,discoverer or invent,马克思
