head,relation,tail
韩国,central bank,韩国银行
韩国银行,country,韩国
韩国开发研究院,country,韩国
若开邦,located in the administrative territorial entity,缅甸
皎道市,country,缅甸
皎道市,located in the administrative territorial entity,若开邦
禁止化学武器公约,main subject,禁化武组织
禁化武组织,headquarters location,海牙
古巴,part of,拉美
秘鲁,part of,拉美
秘鲁,capital,利马
秘鲁,diplomatic relation,巴西
秘鲁,capital,拉巴斯
秘鲁,diplomatic relation,阿根廷
秘鲁,diplomatic relation,哥伦比亚
秘鲁,diplomatic relation,哥斯达黎加
秘鲁,diplomatic relation,巴拿马
秘鲁,diplomatic relation,洪都拉斯
利马,country,秘鲁
巴西,part of,拉美
巴西,diplomatic relation,古巴
巴西,diplomatic relation,多米尼加
巴西,diplomatic relation,秘鲁
巴西,capital,拉巴斯
巴西,diplomatic relation,阿根廷
巴西,diplomatic relation,哥伦比亚
巴西,diplomatic relation,哥斯达黎加
巴西,diplomatic relation,巴拿马
巴西,diplomatic relation,洪都拉斯
陕西,located in the administrative territorial entity,全国
习近平,position held,国务院总理
卡瑟姆若马尔特·托卡耶夫,position held,哈萨克斯坦共和国总统
中华人民共和国,head of state,习近平
中华人民共和国,office held by head of state,哈萨克斯坦共和国总统
中哈关系,country,中华人民共和国
中国石油大学(北京),located in the administrative territorial entity,北京
李干杰,member of political party,中共中央政治局
黄循财,position held,财政部长
沙夫卡特·米尔济约耶夫,date of birth,1957年7月24日
中国铁路昆明局集团有限公司,item operated,中老铁路
中老铁路,country,老挝
中老铁路,country,泰国
中老铁路,country,越南
中老铁路,country,缅甸
老挝,diplomatic relation,泰国
老挝,diplomatic relation,越南
老挝,diplomatic relation,缅甸
泰国,diplomatic relation,老挝
泰国,diplomatic relation,缅甸
越南,diplomatic relation,老挝
越南,diplomatic relation,缅甸
共建“一带一路”合作文件,participant,习近平
哈萨克斯坦,diplomatic relation,吉尔吉斯斯坦
哈萨克斯坦,diplomatic relation,土库曼斯坦
吉尔吉斯斯坦,diplomatic relation,哈萨克斯坦
吉尔吉斯斯坦,diplomatic relation,塔吉克斯坦
吉尔吉斯斯坦,diplomatic relation,土库曼斯坦
塔吉克斯坦,diplomatic relation,吉尔吉斯斯坦
土库曼斯坦,diplomatic relation,哈萨克斯坦
土库曼斯坦,diplomatic relation,吉尔吉斯斯坦
政协第十四届全国委员会第四次主席会议,chairperson,王沪宁
王沪宁,member of political party,中共中央政治局常委
两岸关系,part of,两岸融合发展
两岸融合发展,facet of,两岸关系
浙江,capital,上海
上海,located in the administrative territorial entity,浙江
杭州亚运会,participant,谌贻琴
亚残运会,participant,谌贻琴
兴安盟,located in the administrative territorial entity,内蒙古
乌兰浩特市,located in the administrative territorial entity,兴安盟
乌兰哈达镇,located in the administrative territorial entity,乌兰浩特市
习近平生态文明思想,part of,习近平新时代中国特色社会主义思想
苏州,located in the administrative territorial entity,安徽
吴江区,located in the administrative territorial entity,苏州
塞内加尔国民议会议长,country,塞内加尔
迪奥普,position held,塞内加尔国民议会议长
塞内加尔,office held by head of government,塞内加尔国民议会议长
塞内加尔,head of state,萨勒
萨勒,position held,塞内加尔国民议会议长
故宫博物院,affiliation,国家文物局
陕西历史博物馆,affiliation,国家文物局
上海博物馆,affiliation,国家文物局
故宫,affiliation,国家文物局
全国测绘地理信息工作会议,follows,全国测绘地理信息工作会议
睦邻友好,part of,中国同中亚国家关系
哈萨克斯坦,part of,中亚
哈萨克斯坦,shares border with,吉尔吉斯斯坦
吉尔吉斯斯坦,part of,中亚
吉尔吉斯斯坦,shares border with,哈萨克斯坦
吉尔吉斯斯坦,shares border with,吉尔吉斯斯坦
伊马纳利耶夫,country of citizenship,吉尔吉斯斯坦
森林草原防灭火,subclass of,火灾
中央纪委国家监委,subsidiary,全国纪检监察干部队伍
苏辉,position held,全国政协副主席
苏辉,position held,台盟中央主席
匈牙利,diplomatic relation,斯洛文尼亚
斯洛文尼亚,diplomatic relation,匈牙利
于家务回族乡,located in the administrative territorial entity,通州区
九二共识,facet of,两岸关系
