head,relation,tail
哈伊马角经济区,country,阿联酋
美国联邦储备委员会,country,美国
联邦公开市场委员会,country,美国
埃尔奥拉,located on terrain feature,阿拉伯半岛
阿拉伯半岛,highest point,埃尔奥拉
丝绸之路,creator,习近平主席
范茶美,country of citizenship,越南
范茶美,notable work,梦幻花园
梦幻花园,country of origin,越南
梦幻花园,creator,范茶美
阮光中,country of citizenship,越南
潘锦上,country of citizenship,越南
巴西,part of,南半球
伊瓜苏市,country,巴西
伊瓜苏和平广场,country,巴西
伊瓜苏和平广场,located in the administrative territorial entity,伊瓜苏市
伊瓜苏市,located in the administrative territorial entity,伊瓜苏市
伊瓜苏市,contains settlement,伊瓜苏和平广场
万里河山,located in the administrative territorial entity,神州
旌阳区,located in the administrative territorial entity,德阳市
黄许镇,located in the administrative territorial entity,旌阳区
卫生健康委,located in the administrative territorial entity,衢州市
菊花茶,part of,中医
玫瑰花茶,part of,中医
茉莉花茶,part of,中医
枸杞,part of,中医
石斛,part of,中医
蒲公英茶,part of,中医
金银花茶,part of,中医
黑影,anatomical location,视网膜
月亮,instance of,天体
星星,subclass of,天体
胰岛素,use,农业
舒晋瑜,occupation,作家
徐坤,occupation,作家
物流,part of,实体经济
全国两会,office contested,国务院总理
雪豹,subclass of,极地特种载具
泰晤士河,country,英国
波士顿港,country,美国
台山市,located in the administrative territorial entity,江门
集美新城,located in the administrative territorial entity,集美区
天宫画展,location,中国空间站
衡水湖,located in the administrative territorial entity,衡水市
峡江县,located in the administrative territorial entity,吉安市
罗田镇,located in the administrative territorial entity,峡江县
柏树镇,located in the administrative territorial entity,崇信县
慕尼黑安全会议,organizer,慕安会
慕尼黑安全会议,organiz,慕安会
阿联酋外贸国务部长,country,阿联酋
萨尼·泽尤迪,position held,阿联酋外贸国务部长
萨尼·泽尤迪,country of citizenship,阿联酋
阿联酋,executive body,阿联酋外贸国务部长
阿联酋,part of,西亚
春节灯展,director,苏拉威·什雷斯塔
普吕特纳,position held,德国总理外事顾问
杨万明,member of,中国人民对外友好协会
谢春涛,position held,中共中央党校(国家行政学院)分管日常工作的副校(院)长
穆伊尼,member of political party,塔吉克斯坦人民民主党
魏巧,position held,全国人大代表
西藏自治区农牧科学院,located in the administrative territorial entity,西藏自治区
何坝街道,located in the administrative territorial entity,凤冈县
节粮,subclass of,食物
水利部,part of,国务院
张政,employer,国务院
国务院港澳事务办公室,part of,国务院
卞志刚,employer,国务院
国家体育总局,part of,国务院
丰台区图书馆,located in the administrative territorial entity,丰台区
瑶海区,located in the administrative territorial entity,合肥市
恒通社区,located in the administrative territorial entity,瑶海区
恒通生活小区,located in the administrative territorial entity,瑶海区
<unk>亭区,located in the administrative territorial entity,宜昌市
楚能科技大学,located in the administrative territorial entity,宜昌市
白之羽,illustrator,沈亦伶
元宵节,part of,农历
弥渡县,located in the administrative territorial entity,大理白族自治州
密祉镇,located in the administrative territorial entity,弥渡县
宁波华茂外国语学校,located in the administrative territorial entity,宁波市
春节,follows,元宵佳节
元宵佳节,follows,春节
贾家庄村,located in the administrative territorial entity,汾阳市
余脉,located in the administrative territorial entity,北京
大年初二,part of,过年
元宵节,location,北京
元宵,location,北京
七八,follows,正月
国泰民安,located in the administrative territorial entity,国泰
滕州市,located in the administrative territorial entity,山东省
2024全国网上年货节,organizer,商务部
模式口历史文化街区,located in the administrative territorial entity,石景山区
中国载人航天工程办公室,item operated,揽月
张紫竹,educated at,中国石油大学(北京)马克思主义学院
哈尔滨道里菜市场,located in the administrative territorial entity,哈尔滨
哈尔滨道里菜市场,located in the,哈尔滨
中国国家铁路集团有限公司,industry,铁路运输
2024年新加坡航展,point in time,2024年
2024年新加坡航展,location,樟宜会展中心
樟宜会展中心,significant event,2024年新加坡航展
德国,continent,亚洲
慕安会,country,德国
慕安会,chairperson,霍伊斯根
霍伊斯根,member of,慕安会
刘千慈,instrument,大提琴
阿联酋,diplomatic relation,克罗地亚
艾因·夏姆斯大学,country,埃及
哈桑·拉杰卜,educated at,艾因·夏姆斯大学
哈桑·拉杰卜,educated at,北京大学
北京饭店,located in the administrative territorial entity,北京
社会主义市场经济体制,has cause,改革开放
曹县,located in the administrative territorial entity,菏泽市
南方医院,located in the administrative territorial entity,广州
碧海银滩,located in the administrative territorial entity,厦门
中共中央台办,part of,中共中央台办
国务院台办,part of,国务院台办
彭山区,located in the administrative territorial entity,眉山市
昆山市,located in the administrative territorial entity,苏州
陆家镇,located in the administrative territorial entity,昆山市
张浦镇,located in the administrative territorial entity,昆山市
王心仪,educated at,北京大学
教育,has quality,民族振兴
李敷仁,educated at,延安大学
郭小良,educated at,延安大学
槟城,located in the administrative territorial entity,马来西亚
槟州,located in the administrative territorial entity,马来西亚
槟州,capital,槟城
奇里·特·卡娜娃剧院,country,新西兰
奇里·特·卡娜娃剧院,located in the administrative territorial entity,奥克兰
香港演艺学院,located in the administrative,香港
