head,relation,tail
新北区,located in the administrative territorial entity,常州市
人工智能,part of,云计算
曹村镇,located in the administrative territorial entity,富平县
榆林化工,located in the administrative territorial entity,榆林
南方电网,subsidiary,贵州电网公司
贵州电网公司,owned by,南方电网
深圳国际低碳城,located in the administrative territorial entity,深圳
首钢园,located in the administrative territorial entity,北京
人民网,headquarters location,京
东城区人民政府,located in the administrative territorial entity,北京
四世同堂,located in the administrative territorial entity,北京
主角,located in the administrative territorial entity,北京
白鹿原,located in the administrative territorial entity,北京
悲惨世界,located in the administrative territorial entity,北京
猫神在故宫,located in the administrative territorial entity,北京
承德县,located in the administrative territorial entity,石家庄
交通银行深圳分行,headquarters location,深圳
肇庆高新区,located in the administrative territorial entity,肇庆市
肇庆新区,located in the administrative territorial entity,肇庆市
三亚湾,located in the administrative territorial entity,海南省
三亚河,located in the administrative territorial entity,海南省
法国,member of,欧盟
法提赫·比罗尔,employer,国际能源署
法提赫·比罗尔,position held,国际原子能机构总干事
法国核工业协会,country,法国
法国核工业协会,headquarters location,巴黎
国际原子能机构总干事,country,法国
地球磁场,part of,地球
突尼斯,capital,哈马马特
哈马马特,country,突尼斯
贝勒哈桑,country of citizenship,突尼斯
突尼斯国家旅游局,country,突尼斯
封开县,located in the administrative territorial entity,肇庆市
金装镇,located in the administrative territorial entity,封开县
田方然,sport,网球
2023年中国网球公开赛,sport,网球
2023年网球赛季,point in time,2023年
吴迪,sport,网球
张择,sport,网球
公茂鑫,sport,网球
2013年全运会,sport,网球
2022年布达佩斯游泳世锦赛,point in time,2022年
张晓欢,member of sports team,中国花样游泳队
食疗,part of,中医
针灸,part of,中医
三级公立中医医院,subclass of,中医院
二级公立中医医院,subclass of,中医院
生姜,natural product of taxon,萝卜
类风湿关节炎,subclass of,关节炎
西阳泽镇,located in the administrative territorial entity,赞皇县
金山,located in the administrative territorial entity,河北省
四川省,country,中华人民共和国
茂县,country,中华人民共和国
羌绣,subclass of,羌绣技艺
羌绣技艺,subclass of,羌绣
乡村非遗,subclass of,非遗
青年镇,located in the administrative territorial entity,重庆市
洋北街道,located in the administrative territorial entity,宿城区
广水街道,located in the administrative territorial entity,广水市
郝店镇,located in the administrative territorial entity,广水市
洲上乡,located in the administrative territorial entity,樟树市
巴彦托海镇,located in the administrative territorial entity,鄂温克族自治旗
舞剧,subclass of,艺术
演员,field of this occupation,艺术
密云,located in the administrative territorial entity,北京
承德,located in the administrative territorial entity,河北
山谷音乐厅,located in the administrative territorial entity,阿那亚·金山岭
新华社,headquarters location,上海
中国国际进口博览会,point in time,2018年11月5日
长江三角洲,part of,长三角
推动高质量发展综合督查,instance of,国务院常务会议
阿联酋,member of,联合国
韩正将,position held,国家副主席
习近平总书记重要讲话,author,习近平总书记
雪龙号,part of,中国第四十次南极考察
雪龙号,part of,南极考察
阿联酋总统,country,阿联酋
穆罕默德,position held,阿联酋总统
阿联酋,office held by head of government,阿联酋总统
越南,capital,河内
越南,head of state,阮富仲
阮富仲,country of citizenship,中国
中越关系,head of state,阮富仲
埃及,diplomatic relation,中国
中国,diplomatic relation,埃及
中国,continent,非洲
埃及航天城,country,埃及
埃及二号卫星,country,埃及
亨利·基辛格,date of death,11月29日
上海公报,author,亨利·基辛格
景德镇,located in the administrative territorial entity,赣州
瑞金,located in the administrative territorial entity,江西
链博会,organizer,长盈精密
儋州,located in the administrative territorial entity,海南
洋浦经济开发区,located in the administrative territorial entity,儋州
洋浦国际集装箱码头,located in the administrative territorial entity,儋州
尚岛,located in the administrative territorial entity,海南
泛北部湾,located in the administrative territorial entity,海南
周恩来,member of political party,中新社
温州西湾风电场,located in the administrative territorial entity,温州
世界艾滋病日,main subject,艾滋病
伍洛镇,located in the administrative territorial entity,云梦县
蚌埠,located in or next to body of water,淮河
淮河,located in the administrative territorial entity,蚌埠
双墩遗址,located in the administrative territorial entity,蚌埠
余村村,located in the administrative territorial entity,浙江
西递村,located in the administrative territorial entity,安徽
上大学,located in the administrative territorial entity,合肥
舟山,instance of,诸岛
诸岛,subclass of,礁岩
礁岩,subclass of,诸岛
礁石,subclass of,诸岛
十四届全国人大一次会议第三次全体会议,point in time,2023年3月10日
中国国际供应链促进博览会,main subject,供应链
链博会,part of,中国国际供应链促进博览会
研发费用加计扣除政策,subclass of,研发费用加计扣除
研发费用加计扣除政策,sub,研发费用加计扣除
元江特大桥,carries,中老铁路
猛追湾街道,located in the administrative territorial entity,成华区
郑必坚,member of,中国国家创新与发展战略研究会
国家石油天然气管网集团,item operated,国家石油天然气管网集团金坛储气库
国铁集团,item operated,一带一路
古巴,diplomatic relation,中国
中国,office held by head of state,中国国家主席
中国,diplomatic relation,古巴
约旦,capital,迪拜
侯赛因·本·塔拉勒大学,country,约旦
哈桑·达贾,country of citizenship,约旦
哈桑·达贾,educated at,侯赛因·本·塔拉勒大学
金山银山,country,阿联酋
普坦·威乍耶猜,position held,泰国副总理
中国角,part of,联合国气候变化框架公约
雷东多,position held,洪都拉斯国会主席
摩根大通,instance of,金融机构
高盛,instance of,金融机构
花旗,instance of,金融机构
瑞银,instance of,金融机构
德意志银行,instance of,金融机构
澳新银行,instance of,金融机构
李明祥,member of,中共中央对外联络部
帕切科,country of citizenship,多米尼加
解放党,country,多米尼加
革命党,country,多米尼加
人民力量党,country,多米尼加
戈壁滩上的葡萄酒产业,located in the administrative territorial entity,宁夏
新西兰,located in or next to body of water,太平洋
2023年“读懂中国”国际会议,location,广州
黄坤明,position held,广东省委书记
郝明金,member of political party,中国民主建国会
冬季呼吸道常见病,subclass of,冬季呼吸道疾病
