head,relation,tail
马克思主义基本原理,subclass of,马克思主义
涔山,located in the administrative territorial entity,山西省
黄河,located in the administrative territorial entity,山西省
安源区,located in the administrative territorial entity,萍乡
天衢新区,located in the administrative territorial entity,德州市
巴中市,located in the administrative territorial entity,四川省
巴州区,located in the administrative territorial entity,巴中市
德清下渚湖国家湿地公园,located in the administrative territorial entity,德清
爱因斯坦,notable work,广义相对论
广义相对论,discoverer or inventor,爱因斯坦
纳赫兹引力波,subclass of,引力波
香港电台,owned by,中央广播电视总台
香港电台,owned by,中央
人民日报文化传媒有限公司,headquarters location,北京
曲阜市,located in the administrative territorial entity,济宁
息<unk>镇,located in the administrative territorial entity,曲阜市
危险化学品重大危险源企业,facet of,危险化学品
甘肃省医保局,applies to jurisdiction,甘肃
蔡家智慧新城,located in the administrative territorial entity,北碚区
嘉兴市,located in the administrative territorial entity,浙江省
嘉善县,located in the administrative territorial entity,嘉兴市
人民日报社,震,社长
人民日报社,震,director / manager
社长,人民日报社,震
社长,人民日报社,employer
澜湄合作,named after,湄公河
宜宾站火炬传递,part of,成都大运会
宜宾学院,located in the administrative territorial entity,宜宾
陈卫强,significant event,杭州亚运会
陈卫强,significant event,杭州亚运
乌兰察布,located in the administrative territorial entity,内蒙古
呼伦贝尔,located in the administrative territorial entity,内蒙古
普瓦捷站,country,法国
陈明伶,league,国际篮联
万济圆,league,国际篮联
黄琨,league,国际篮联
陈玉婕,league,国际篮联
巴南区,located in the administrative territorial entity,重庆市
塔山镇,located in the administrative territorial entity,赣榆区
台江县,located in the administrative territorial entity,黔东南苗族侗族自治州
酉阳土家族苗族自治县,located in the administrative territorial entity,重庆市
花田乡,located in the administrative territorial entity,酉阳土家族苗族自治县
何家岩村,located in the administrative territorial entity,花田乡
理塘县,located in the administrative territorial entity,甘孜藏族自治州
广安门医院,instance of,医院
中国药,subclass of,中医药
白内障,subclass of,视力下降
佩兰叶,found in taxon,苍术草
习近平总书记,award received,鲁迅文学奖
鲁迅文学奖,winner,习近平总书记
父亲进城,publisher,江西文联
中国特色社会主义,discoverer or inventor,习近平
印度共和国,head of government,莫迪
莫迪,country of citizenship,印度共和国
百年大党,creator,习近平同志
党的十八大,participant,习近平总书记
总书记,member,中国共产党
习近平总书记,movement,马克思主义政党
马克思主义政党,discoverer or inventor,习近平总书记
阎维文,member of political party,中国共产党
李心草,member of political party,中国共产党
王丽达,member of political party,中国共产党
高鹏,member of political party,中国共产党
索朗旺姆,member of political party,中国共产党
蒋宁,member of political party,中国共产党
姚亮,member of political party,中国共产党
党华莉,member of political party,中国共产党
新中国,founded by,中国共产党
生态环境部,chairperson,郭芳
住房和城乡建设部,chairperson,王晖
科学技术部,chairperson,李萌
上海合作组织宪章,applies to jurisdiction,上海合作组织
上海合作组织成员国长期睦邻友好合作条约,participant,上海合作组织
上海合作组织,foundational text,上海合作组织宪章
上海合作组织,foundational text,上海合作组织成员国长期睦邻友好合作条约
上海合作组织成员国元首理事会,applies to jurisdiction,上海合作组织
西拉,country of citizenship,马达加斯加
习近平主席提出的“一带一路”倡议,participant,王毅
习近平主席提出的“一带一路”倡议,participant,西拉
