head,relation,tail
阿马尔菲海岸,country,意大利
阿马尔菲海岸,heritage designation,世界文化遗产
坎帕尼亚大区,located in the administrative territorial entity,意大利
索伦托半岛,country,意大利
索伦托半岛,located in the administrative territorial entity,坎帕尼亚大区
索伦托半岛,located in or next to body of water,萨莱诺海湾
萨莱诺海湾,country,意大利
世界文化遗产,maintained by,联合国教科文组织
贝鲁特,country,黎巴嫩
黎巴嫩,capital,贝鲁特
哈比卜,country of citizenship,黎巴嫩
哈比卜,position held,外交部长
埃及,located in or next to body of water,地中海
地中海,basin country,埃及
尼罗河三角洲,country,埃及
环境部,country,埃及
新城市社区管理局,country,埃及
厚生劳动省,country,日本
总务省,country,日本
诸暨农商银行,located in the administrative territorial entity,诸暨市
店口镇,located in the administrative territorial entity,诸暨市
苹果期货,subclass of,期货
赵国光,educated at,首都医科大学
朱友刚,educated at,首都医科大学
北仑区,located in the administrative territorial entity,宁波市
霞浦街道,located in the administrative territorial entity,北仑区
汪哲平,occupation,设计
和平区,located in the administrative territorial entity,天津
义乌,located in the administrative territorial entity,浙江
海南省,capital,海口市
海口市,located in the administrative territorial entity,海南省
国家市场监督管理总局,instance of,市场监管总局
新消费,subclass of,消费
汉江四桥,located in the administrative territorial entity,安康
高坪镇,located in the administrative territorial entity,遂川
永嘉,located in the administrative territorial entity,温州
岩头镇,located in the administrative territorial entity,永嘉
楠溪江网红打卡,located in the administrative territorial entity,温州
楠溪江网红打卡,located in the administrative territorial entity,永嘉
楠溪江网红打卡,located,永嘉
雄安新区,located in the administrative territorial entity,北京
雄安新区,located in the administrative territorial entity,天津
雄安新区,located in the administrative territorial entity,河北省
雄安新区,located in the administrative territorial,天津
习近平新时代中国特色社会主义思想,author,习近平总书记
习近平总书记,notable work,习近平新时代中国特色社会主义思想
王沪宁,position held,全国政协主席
克孜勒苏柯尔克孜自治州,located in the administrative territorial entity,新疆
阿图什市,located in the administrative territorial entity,克孜勒苏柯尔克孜自治州
王沪宁,member of political party,中国共产党
王沪宁,position held,全国政协副主席
石泰峰,position held,全国政协主席
石泰峰,member of political party,中国共产党
石泰峰,position held,全国政协副主席
何厚<unk>,position held,全国政协主席
何厚<unk>,member of political party,中国共产党
何厚<unk>,position held,全国政协副主席
王东峰,position held,全国政协主席
王东峰,member of political party,中国共产党
王东峰,position held,全国政协副主席
中国国家铁路集团有限公司,item operated,南昌至九江高铁
京杭运河,mouth of the watercourse,长江
淮河,mouth of the watercourse,长江
蔬菜产业,subclass of,农业
蔬菜产业,sub,农业
里斯本,country,葡萄牙
德索萨,country of citizenship,葡萄牙
科斯塔,country of citizenship,葡萄牙
习近平主席,position held,国家副主席
中国人民,chairperson,习近平主席
中国共产党,chairperson,习近平主席
